,0,1,2,3
202410010210,三連複,1-3-8,33350,123
202410010210,三連単,1→3→8,357500,1059
202410010211,単勝,12,490,2
202410010211,複勝,12,170,2
202410010211,複勝,8,170,1
202410010211,複勝,10,240,4
202410010211,枠連,4-6,1050,4
202410010211,馬連,8-12,1170,3
202410010211,ワイド,8-12,470,2
202410010211,ワイド,10-12,750,5
202410010211,ワイド,8-10,780,7
202410010211,馬単,12→8,2650,6
202410010211,三連複,8-10-12,3660,7
202410010211,三連単,12→8→10,18120,33
202410010212,単勝,17,820,3
202410010212,複勝,17,300,3
202410010212,複勝,12,650,9
202410010212,複勝,10,1240,13
202410010212,枠連,6-8,950,2
202410010212,馬連,12-17,10630,36
202410010212,ワイド,12-17,3240,38
202410010212,ワイド,10-17,4980,56
202410010212,ワイド,10-12,9960,93
202410010212,馬単,17→12,19440,68
202410010212,三連複,10-12-17,94610,262
202410010212,三連単,17→12→10,537060,1375
202410010301,単勝,13,640,4
202410010301,複勝,13,190,4
202410010301,複勝,1,130,1
202410010301,複勝,9,160,2
202410010301,枠連,1-8,1070,5
202410010301,馬連,1-13,1190,4
202410010301,ワイド,1-13,460,4
202410010301,ワイド,9-13,450,3
202410010301,ワイド,1-9,410,2
202410010301,馬単,13→1,2550,10
202410010301,三連複,1-9-13,1690,2
202410010301,三連単,13→1→9,10230,16
202410010302,単勝,16,1070,5
202410010302,複勝,16,370,5
202410010302,複勝,13,190,2
202410010302,複勝,7,710,9
202410010302,枠連,7-8,1580,8
202410010302,馬連,13-16,3230,11
202410010302,ワイド,13-16,1130,12
202410010302,ワイド,7-16,4380,36
202410010302,ワイド,7-13,1850,26
202410010302,馬単,16→13,5150,19
202410010302,三連複,7-13-16,26620,76
202410010302,三連単,16→13→7,94610,281
202410010303,単勝,11,1290,4
202410010303,複勝,11,280,5
202410010303,複勝,10,120,1
202410010303,複勝,1,250,4
202410010303,枠連,7-7,1650,5
202410010303,馬連,10-11,1480,5
202410010303,ワイド,10-11,560,5
202410010303,ワイド,1-11,2050,21
202410010303,ワイド,1-10,360,2
202410010303,馬単,11→10,5310,14
202410010303,三連複,1-10-11,4930,13
202410010303,三連単,11→10→1,29100,72
202410010304,単勝,2,180,1
202410010304,複勝,2,110,1
202410010304,複勝,12,120,2
202410010304,複勝,10,250,5
202410010304,枠連,2-8,250,1
202410010304,馬連,2-12,310,1
202410010304,ワイド,2-12,180,1
202410010304,ワイド,2-10,650,8
202410010304,ワイド,10-12,890,9
202410010304,馬単,2→12,500,1
202410010304,三連複,2-10-12,1680,4
202410010304,三連単,2→12→10,4350,11
202410010305,単勝,1,610,4
202410010305,複勝,1,220,4
202410010305,複勝,12,220,5
202410010305,複勝,11,180,2
202410010305,枠連,1-8,880,3
202410010305,馬連,1-12,2210,9
202410010305,ワイド,1-12,750,8
202410010305,ワイド,1-11,500,3
202410010305,ワイド,11-12,770,9
202410010305,馬単,1→12,4080,19
202410010305,三連複,1-11-12,3950,9
202410010305,三連単,1→12→11,24400,72
202410010306,単勝,2,860,3
202410010306,複勝,2,250,3
202410010306,複勝,8,530,8
202410010306,複勝,1,270,4
202410010306,枠連,2-7,3860,11
202410010306,馬連,2-8,13080,29
202410010306,ワイド,2-8,1830,21
