,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
118,芝,2600,重,新馬,,,,,
119,芝,2600,不良,新馬,,,,,
120,芝,2600,全,1勝クラス,36.0,8.0,7.7,5.4,3.6
121,芝,2600,良,1勝クラス,36.0,7.6,7.2,4.5,3.2
122,芝,2600,稍重,1勝クラス,35.9,10.3,10.3,10.3,6.4
123,芝,2600,重,1勝クラス,,,,,
124,芝,2600,不良,1勝クラス,,,,,
125,芝,2600,全,2勝クラス,35.8,4.6,4.6,3.1,1.6
126,芝,2600,良,2勝クラス,35.0,1.9,1.9,1.9,1.3
127,芝,2600,稍重,2勝クラス,,,,,
128,芝,2600,重,2勝クラス,37.5,10.1,10.1,5.6,2.2
129,芝,2600,不良,2勝クラス,,,,,
130,芝,2600,全,3勝クラス,,,,,
131,芝,2600,良,3勝クラス,,,,,
132,芝,2600,稍重,3勝クラス,,,,,
133,芝,2600,重,3勝クラス,,,,,
134,芝,2600,不良,3勝クラス,,,,,
135,芝,2600,全,オープン,,,,,
136,芝,2600,良,オープン,,,,,
137,芝,2600,稍重,オープン,,,,,
138,芝,2600,重,オープン,,,,,
139,芝,2600,不良,オープン,,,,,
140,ダート,1150,全,all,36.8,4.4,4.0,,
141,ダート,1150,良,all,37.0,4.3,3.9,,
142,ダート,1150,稍重,all,36.4,5.8,5.6,,
143,ダート,1150,重,all,35.5,1.8,1.8,,
144,ダート,1150,不良,all,36.1,3.4,2.8,,
145,ダート,1150,全,未勝利,37.4,2.7,2.6,,
146,ダート,1150,良,未勝利,37.6,2.6,2.5,,
147,ダート,1150,稍重,未勝利,37.0,1.1,1.1,,
148,ダート,1150,重,未勝利,,,,,
149,ダート,1150,不良,未勝利,36.2,5.6,4.5,,
150,ダート,1150,全,新馬,37.2,6.4,5.4,,
151,ダート,1150,良,新馬,36.8,6.0,4.0,,
152,ダート,1150,稍重,新馬,37.6,6.8,6.8,,
153,ダート,1150,重,新馬,,,,,
154,ダート,1150,不良,新馬,,,,,
155,ダート,1150,全,1勝クラス,36.5,5.4,4.7,,
156,ダート,1150,良,1勝クラス,36.7,5.2,4.5,,
157,ダート,1150,稍重,1勝クラス,36.2,7.8,7.2,,
158,ダート,1150,重,1勝クラス,35.5,1.8,1.8,,
159,ダート,1150,不良,1勝クラス,,,,,
160,ダート,1150,全,2勝クラス,36.6,7.6,7.6,,
161,ダート,1150,良,2勝クラス,36.6,7.6,7.6,,
162,ダート,1150,稍重,2勝クラス,,,,,
163,ダート,1150,重,2勝クラス,,,,,
164,ダート,1150,不良,2勝クラス,,,,,
165,ダート,1150,全,3勝クラス,36.4,1.1,1.1,,
166,ダート,1150,良,3勝クラス,36.6,1.1,1.1,,
167,ダート,1150,稍重,3勝クラス,,,,,
168,ダート,1150,重,3勝クラス,,,,,
169,ダート,1150,不良,3勝クラス,36.0,1.1,1.1,,
170,ダート,1150,全,オープン,35.1,5.5,5.5,,
171,ダート,1150,良,オープン,,,,,
172,ダート,1150,稍重,オープン,35.1,5.5,5.5,,
173,ダート,1150,重,オープン,,,,,
174,ダート,1150,不良,オープン,,,,,
175,ダート,1700,全,all,38.0,6.1,6.0,4.8,4.0
176,ダート,1700,良,all,38.1,6.3,6.1,4.9,4.0
177,ダート,1700,稍重,all,37.3,4.8,4.8,5.2,4.7
178,ダート,1700,重,all,38.1,5.2,5.2,4.6,4.4
179,ダート,1700,不良,all,,,,,
