race_id,式別,馬番,配当,人気
202405010301,複勝,12,170,3
202405010301,枠連,4-8,460,1
202405010301,馬連,8-16,5800,15
202405010301,ワイド,8-16,1230,14
202405010301,ワイド,8-12,280,2
202405010301,ワイド,12-16,1920,21
202405010301,馬単,8→16,7640,25
202405010301,三連複,8-12-16,7510,23
202405010301,三連単,8→16→12,35940,115
202405010302,単勝,2,24710,12
202405010302,複勝,2,1780,11
202405010302,複勝,10,210,4
202405010302,複勝,13,160,2
202405010302,枠連,1-5,17790,25
202405010302,馬連,2-10,50980,46
202405010302,ワイド,2-10,10300,48
202405010302,ワイド,2-13,8620,42
202405010302,ワイド,10-13,620,9
202405010302,馬単,2→10,120310,94
202405010302,三連複,2-10-13,55630,91
202405010302,三連単,2→10→13,764180,717
202405010303,単勝,15,510,3
202405010303,複勝,15,150,3
202405010303,複勝,4,110,1
202405010303,複勝,12,120,2
202405010303,枠連,2-8,370,2
202405010303,馬連,4-15,450,2
202405010303,ワイド,4-15,220,2
202405010303,ワイド,12-15,360,4
202405010303,ワイド,4-12,170,1
202405010303,馬単,15→4,1210,5
202405010303,三連複,4-12-15,450,1
202405010303,三連単,15→4→12,3490,6
202405010304,単勝,7,290,2
202405010304,複勝,7,310,2
202405010304,複勝,6,670,6
202405010304,複勝,2,580,4
202405010304,馬連,6-7,2470,9
202405010304,ワイド,6-7,630,9
202405010304,ワイド,2-7,520,7
202405010304,ワイド,2-6,1250,16
202405010304,馬単,7→6,2920,10
202405010304,三連複,2-6-7,6090,17
202405010304,三連単,7→6→2,20390,58
202405010305,単勝,12,290,2
202405010305,複勝,12,130,2
202405010305,複勝,15,310,6
202405010305,複勝,4,110,1
202405010305,枠連,6-8,960,4
202405010305,馬連,12-15,2650,8
202405010305,ワイド,12-15,710,8
202405010305,ワイド,4-12,200,1
202405010305,ワイド,4-15,920,11
202405010305,馬単,12→15,3570,12
202405010305,三連複,4-12-15,1670,4
202405010305,三連単,12→15→4,12890,33
202405010306,単勝,3,160,1
202405010306,複勝,3,110,1
202405010306,複勝,6,160,2
202405010306,複勝,5,330,7
202405010306,枠連,3-5,390,2
202405010306,馬連,3-6,480,1
202405010306,ワイド,3-6,230,1
202405010306,ワイド,3-5,480,6
202405010306,ワイド,5-6,1380,16
202405010306,馬単,3→6,640,1
202405010306,三連複,3-5-6,2420,10
202405010306,三連単,3→6→5,6380,19
202405010307,単勝,7,110,1
202405010307,複勝,7,100,1
202405010307,複勝,3,150,3
202405010307,複勝,4,120,2
202405010307,枠連,3-5,500,2
202405010307,馬連,3-7,500,2
202405010307,ワイド,3-7,210,2
202405010307,ワイド,4-7,150,1
202405010307,ワイド,3-4,440,5
202405010307,馬単,7→3,590,2
202405010307,三連複,3-4-7,480,1
202405010307,三連単,7→3→4,1510,4
202405010308,単勝,13,630,3
202405010308,複勝,13,240,3
202405010308,複勝,4,380,7
202405010308,複勝,6,300,5
202405010308,枠連,2-7,3990,13
202405010308,馬連,4-13,5200,19
202405010308,ワイド,4-13,1220,13
202405010308,ワイド,6-13,1400,15
202405010308,ワイド,4-6,2100,27
202405010308,馬単,13→4,7910,29
202405010308,三連複,4-6-13,17200,58
202405010308,三連単,13→4→6,85260,278
202405010309,単勝,7,370,2
202405010309,複勝,7,110,1
202405010309,複勝,4,110,2
202405010309,複勝,2,110,3
202405010309,複勝,3,200,6
202405010309,馬連,4-7,390,1
202405010309,ワイド,4-7,120,1
202405010309,ワイド,2-7,150,3
202405010309,ワイド,3-7,460,12
202405010309,ワイド,2-4,120,2
202405010309,ワイド,3-4,340,10
202405010309,馬単,7→4,760,3
202405010309,三連複,2-4-7,210,1
202405010309,三連複,3-4-7,790,8
202405010309,三連単,7→4→2,1060,3
202405010309,三連単,7→4→3,4050,28
202405010310,単勝,6,290,2
202405010310,複勝,6,120,2
202405010310,複勝,15,110,1
202405010310,複勝,5,340,6
202405010310,枠連,4-8,280,1
202405010310,馬連,6-15,280,1
202405010310,ワイド,6-15,180,1
202405010310,ワイド,5-6,850,10
202405010310,ワイド,5-15,820,7
202405010310,馬単,6→15,670,2
202405010310,三連複,5-6-15,2500,6
202405010310,三連単,6→15→5,9230,21
202405010311,単勝,5,690,3
202405010311,複勝,5,520,3
202405010311,複勝,9,470,2
202405010311,複勝,11,820,4
202405010311,枠連,5-7,1390,5
202405010311,馬連,5-9,1900,6
202405010311,ワイド,5-9,430,4
202405010311,ワイド,5-11,870,8
202405010311,ワイド,9-11,740,7
202405010311,馬単,5→9,4190,10
202405010311,三連複,5-9-11,5310,16
202405010311,三連単,5→9→11,30480,74
202405010312,単勝,13,250,1
202405010312,複勝,13,120,1
202405010312,複勝,3,120,2
202405010312,複勝,12,160,3
202405010312,枠連,2-7,470,1
202405010312,馬連,3-13,460,1
202405010312,ワイド,3-13,220,1
202405010312,ワイド,12-13,290,2
202405010312,ワイド,3-12,490,5
202405010312,馬単,13→3,940,2
202405010312,三連複,3-12-13,1090,1
202405010312,三連単,13→3→12,4540,5
202405010401,単勝,5,220,1
202405010401,複勝,5,120,1
202405010401,複勝,7,240,5
202405010401,複勝,10,150,3
202405010401,枠連,3-4,1860,7
202405010401,馬連,5-7,1910,7
202405010401,ワイド,5-7,580,7
202405010401,ワイド,5-10,260,2
202405010401,ワイド,7-10,790,9
202405010401,馬単,5→7,2570,10
202405010401,三連複,5-7-10,2030,6
202405010401,三連単,5→7→10,8830,24
202405010402,単勝,4,160,1
202405010402,複勝,4,110,1
202405010402,複勝,10,490,7
202405010402,複勝,15,250,5
202405010402,枠連,2-5,440,2
202405010402,馬連,4-10,1850,5
202405010402,ワイド,4-10,740,8
202405010402,ワイド,4-15,420,4
202405010402,ワイド,10-15,2490,23
202405010402,馬単,4→10,2330,8
202405010402,三連複,4-10-15,6260,21
202405010402,三連単,4→10→15,18450,52
202405010403,単勝,9,320,1
202405010403,複勝,9,180,1
202405010403,複勝,5,210,3
202405010403,複勝,16,780,11
202405010403,枠連,3-5,1050,6
202405010403,馬連,5-9,1640,5
202405010403,ワイド,5-9,710,6
202405010403,ワイド,9-16,2870,36
202405010403,ワイド,5-16,3490,43
202405010403,馬単,9→5,2870,8
202405010403,三連複,5-9-16,19090,69
202405010403,三連単,9→5→16,72150,230
202405010404,単勝,6,780,4
202405010404,複勝,6,200,4
202405010404,複勝,5,130,1
202405010404,複勝,7,140,2
202405010404,枠連,3-4,470,1
202405010404,馬連,5-6,1720,5
202405010404,ワイド,5-6,570,4
202405010404,ワイド,6-7,680,5
202405010404,ワイド,5-7,290,1
202405010404,馬単,6→5,3690,10
202405010404,三連複,5-6-7,2170,2
202405010404,三連単,6→5→7,15980,21
202405010405,単勝,14,1830,6
202405010405,複勝,14,350,6
202405010405,複勝,1,240,4
202405010405,複勝,13,170,3
202405010405,枠連,1-7,1040,5
