,race_type,course_len,ground_state,class,馬体重
165,芝,2000,全,3勝クラス,451.0
166,芝,2000,良,3勝クラス,451.0
167,芝,2000,稍重,3勝クラス,
168,芝,2000,重,3勝クラス,
169,芝,2000,不良,3勝クラス,
170,芝,2000,全,オープン,489.0
171,芝,2000,良,オープン,504.0
172,芝,2000,稍重,オープン,444.0
173,芝,2000,重,オープン,
174,芝,2000,不良,オープン,
175,芝,2200,全,all,480.4
176,芝,2200,良,all,478.0
177,芝,2200,稍重,all,504.0
178,芝,2200,重,all,476.0
179,芝,2200,不良,all,
180,芝,2200,全,未勝利,474.0
181,芝,2200,良,未勝利,473.0
182,芝,2200,稍重,未勝利,
183,芝,2200,重,未勝利,476.0
184,芝,2200,不良,未勝利,
185,芝,2200,全,新馬,
186,芝,2200,良,新馬,
187,芝,2200,稍重,新馬,
188,芝,2200,重,新馬,
189,芝,2200,不良,新馬,
190,芝,2200,全,1勝クラス,468.0
191,芝,2200,良,1勝クラス,468.0
192,芝,2200,稍重,1勝クラス,
193,芝,2200,重,1勝クラス,
194,芝,2200,不良,1勝クラス,
195,芝,2200,全,2勝クラス,496.0
196,芝,2200,良,2勝クラス,496.0
197,芝,2200,稍重,2勝クラス,
198,芝,2200,重,2勝クラス,
199,芝,2200,不良,2勝クラス,
200,芝,2200,全,3勝クラス,477.0
201,芝,2200,良,3勝クラス,477.0
202,芝,2200,稍重,3勝クラス,
203,芝,2200,重,3勝クラス,
204,芝,2200,不良,3勝クラス,
205,芝,2200,全,オープン,498.0
206,芝,2200,良,オープン,492.0
207,芝,2200,稍重,オープン,504.0
208,芝,2200,重,オープン,
209,芝,2200,不良,オープン,
210,芝,2400,全,all,487.9
211,芝,2400,良,all,485.6
212,芝,2400,稍重,all,
213,芝,2400,重,all,520.0
214,芝,2400,不良,all,
215,芝,2400,全,未勝利,479.0
216,芝,2400,良,未勝利,479.0
217,芝,2400,稍重,未勝利,
218,芝,2400,重,未勝利,
219,芝,2400,不良,未勝利,
220,芝,2400,全,新馬,
221,芝,2400,良,新馬,
222,芝,2400,稍重,新馬,
223,芝,2400,重,新馬,
224,芝,2400,不良,新馬,
225,芝,2400,全,1勝クラス,478.3
226,芝,2400,良,1勝クラス,478.3
227,芝,2400,稍重,1勝クラス,
228,芝,2400,重,1勝クラス,
229,芝,2400,不良,1勝クラス,
230,芝,2400,全,2勝クラス,506.0
231,芝,2400,良,2勝クラス,499.0
232,芝,2400,稍重,2勝クラス,
233,芝,2400,重,2勝クラス,520.0
234,芝,2400,不良,2勝クラス,
235,芝,2400,全,3勝クラス,504.0
236,芝,2400,良,3勝クラス,504.0
237,芝,2400,稍重,3勝クラス,
238,芝,2400,重,3勝クラス,
239,芝,2400,不良,3勝クラス,
240,芝,2400,全,オープン,510.0
241,芝,2400,良,オープン,510.0
242,芝,2400,稍重,オープン,
243,芝,2400,重,オープン,
244,芝,2400,不良,オープン,
245,芝,2600,全,all,509.0
246,芝,2600,良,all,524.0
247,芝,2600,稍重,all,494.0
248,芝,2600,重,all,
249,芝,2600,不良,all,
250,芝,2600,全,未勝利,
251,芝,2600,良,未勝利,
252,芝,2600,稍重,未勝利,
253,芝,2600,重,未勝利,
254,芝,2600,不良,未勝利,
255,芝,2600,全,新馬,
256,芝,2600,良,新馬,
257,芝,2600,稍重,新馬,
258,芝,2600,重,新馬,
259,芝,2600,不良,新馬,
260,芝,2600,全,1勝クラス,
261,芝,2600,良,1勝クラス,
262,芝,2600,稍重,1勝クラス,
263,芝,2600,重,1勝クラス,
264,芝,2600,不良,1勝クラス,
265,芝,2600,全,2勝クラス,524.0
266,芝,2600,良,2勝クラス,524.0
267,芝,2600,稍重,2勝クラス,
268,芝,2600,重,2勝クラス,
269,芝,2600,不良,2勝クラス,
270,芝,2600,全,3勝クラス,
271,芝,2600,良,3勝クラス,
272,芝,2600,稍重,3勝クラス,
273,芝,2600,重,3勝クラス,
274,芝,2600,不良,3勝クラス,
275,芝,2600,全,オープン,494.0
276,芝,2600,良,オープン,
277,芝,2600,稍重,オープン,494.0
278,芝,2600,重,オープン,
279,芝,2600,不良,オープン,
280,芝,3000,全,all,533.0
281,芝,3000,良,all,533.0
282,芝,3000,稍重,all,
283,芝,3000,重,all,
284,芝,3000,不良,all,
285,芝,3000,全,未勝利,
286,芝,3000,良,未勝利,
287,芝,3000,稍重,未勝利,
288,芝,3000,重,未勝利,
289,芝,3000,不良,未勝利,
290,芝,3000,全,新馬,
291,芝,3000,良,新馬,
292,芝,3000,稍重,新馬,
293,芝,3000,重,新馬,
294,芝,3000,不良,新馬,
295,芝,3000,全,1勝クラス,
296,芝,3000,良,1勝クラス,
297,芝,3000,稍重,1勝クラス,
298,芝,3000,重,1勝クラス,
299,芝,3000,不良,1勝クラス,
300,芝,3000,全,2勝クラス,
301,芝,3000,良,2勝クラス,
302,芝,3000,稍重,2勝クラス,
303,芝,3000,重,2勝クラス,
304,芝,3000,不良,2勝クラス,
305,芝,3000,全,3勝クラス,540.0
306,芝,3000,良,3勝クラス,540.0
307,芝,3000,稍重,3勝クラス,
308,芝,3000,重,3勝クラス,
309,芝,3000,不良,3勝クラス,
