,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
114,芝,1800,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,芝,1800,全,新馬,4.67,6.12,24,5,3,2,1,1,2,6,4,4,4,2,0,2,0,2,3,2,1,0,1,2,0,1,0,0,0
116,芝,1800,良,新馬,5.06,7.0,18,4,1,1,1,0,2,6,3,3,2,1,0,1,0,2,2,2,1,0,1,2,0,1,0,0,0
117,芝,1800,稍重,新馬,3.5,3.5,6,1,2,1,0,1,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
118,芝,1800,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,芝,1800,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,芝,1800,全,1勝クラス,4.4,4.9,30,5,4,2,4,3,5,4,3,5,4,2,4,3,3,5,0,0,1,2,1,0,0,0,0,0,0
121,芝,1800,良,1勝クラス,4.19,4.62,21,4,3,2,3,2,2,2,3,4,3,2,3,2,1,3,0,0,1,2,0,0,0,0,0,0,0
122,芝,1800,稍重,1勝クラス,4.89,5.56,9,1,1,0,1,1,3,2,0,1,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0
123,芝,1800,重,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,芝,1800,不良,1勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,芝,1800,全,2勝クラス,4.9,5.1,21,1,2,3,4,1,5,2,3,1,2,3,4,1,4,2,2,2,0,0,0,0,0,0,0,0,0
126,芝,1800,良,2勝クラス,4.78,5.0,18,1,2,3,3,1,4,1,3,1,2,3,3,1,3,1,2,2,0,0,0,0,0,0,0,0,0
127,芝,1800,稍重,2勝クラス,5.67,5.67,3,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
128,芝,1800,重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,芝,1800,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,芝,1800,全,3勝クラス,4.33,5.27,15,3,0,2,4,1,2,1,2,2,1,1,3,2,0,3,1,1,0,0,1,0,0,0,0,0,0
131,芝,1800,良,3勝クラス,4.33,5.27,15,3,0,2,4,1,2,1,2,2,1,1,3,2,0,3,1,1,0,0,1,0,0,0,0,0,0
132,芝,1800,稍重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,芝,1800,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,芝,1800,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,芝,1800,全,オープン,5.33,7.33,12,2,0,1,2,1,0,2,4,2,0,1,1,0,1,3,0,0,0,1,1,0,1,1,0,0,0
136,芝,1800,良,オープン,5.78,8.44,9,1,0,1,1,1,0,1,4,1,0,1,0,0,1,2,0,0,0,1,1,0,1,1,0,0,0
137,芝,1800,稍重,オープン,4.0,4.0,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,芝,1800,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,芝,1800,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,芝,2000,全,all,4.6,5.88,144,14,24,11,23,16,17,18,21,12,22,12,16,9,14,9,15,14,6,4,4,2,2,2,1,0,0
141,芝,2000,良,all,4.48,5.73,120,12,21,9,22,12,14,15,15,10,20,9,15,7,11,7,13,10,6,4,4,2,1,1,0,0,0
142,芝,2000,稍重,all,5.14,6.71,21,2,2,2,1,4,3,2,5,2,1,3,1,2,3,1,1,4,0,0,0,0,1,1,1,0,0
143,芝,2000,重,all,5.67,5.67,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144,芝,2000,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,芝,2000,全,未勝利,4.71,7.0,45,6,5,2,8,6,5,6,7,4,4,3,6,3,3,1,3,4,4,3,2,1,1,2,1,0,0
