,race_type,course_len,ground_state,class,avg_time
281,芝,3000,良,all,
282,芝,3000,稍重,all,186800
283,芝,3000,重,all,187300
284,芝,3000,不,all,
285,芝,3000,全,未勝利,
286,芝,3000,良,未勝利,
287,芝,3000,稍重,未勝利,
288,芝,3000,重,未勝利,
289,芝,3000,不,未勝利,
290,芝,3000,全,新馬,
291,芝,3000,良,新馬,
292,芝,3000,稍重,新馬,
293,芝,3000,重,新馬,
294,芝,3000,不,新馬,
295,芝,3000,全,1勝クラス,
296,芝,3000,良,1勝クラス,
297,芝,3000,稍重,1勝クラス,
298,芝,3000,重,1勝クラス,
299,芝,3000,不,1勝クラス,
300,芝,3000,全,2勝クラス,
301,芝,3000,良,2勝クラス,
302,芝,3000,稍重,2勝クラス,
303,芝,3000,重,2勝クラス,
304,芝,3000,不,2勝クラス,
305,芝,3000,全,3勝クラス,187300
306,芝,3000,良,3勝クラス,
307,芝,3000,稍重,3勝クラス,
308,芝,3000,重,3勝クラス,187300
309,芝,3000,不,3勝クラス,
310,芝,3000,全,オープン,186800
311,芝,3000,良,オープン,
312,芝,3000,稍重,オープン,186800
313,芝,3000,重,オープン,
314,芝,3000,不,オープン,
315,ダート,1200,全,all,72270
316,ダート,1200,良,all,72930
317,ダート,1200,稍重,all,72142
318,ダート,1200,重,all,72200
319,ダート,1200,不,all,71333
320,ダート,1200,全,未勝利,73245
321,ダート,1200,良,未勝利,73616
322,ダート,1200,稍重,未勝利,72933
323,ダート,1200,重,未勝利,72200
324,ダート,1200,不,未勝利,73000
325,ダート,1200,全,新馬,
326,ダート,1200,良,新馬,
327,ダート,1200,稍重,新馬,
328,ダート,1200,重,新馬,
329,ダート,1200,不,新馬,
330,ダート,1200,全,1勝クラス,71371
331,ダート,1200,良,1勝クラス,72000
332,ダート,1200,稍重,1勝クラス,71600
333,ダート,1200,重,1勝クラス,
334,ダート,1200,不,1勝クラス,71000
335,ダート,1200,全,2勝クラス,71650
336,ダート,1200,良,2勝クラス,72000
337,ダート,1200,稍重,2勝クラス,71800
338,ダート,1200,重,2勝クラス,
339,ダート,1200,不,2勝クラス,71000
340,ダート,1200,全,3勝クラス,71300
341,ダート,1200,良,3勝クラス,71600
342,ダート,1200,稍重,3勝クラス,71000
343,ダート,1200,重,3勝クラス,
344,ダート,1200,不,3勝クラス,
345,ダート,1200,全,オープン,
346,ダート,1200,良,オープン,
347,ダート,1200,稍重,オープン,
348,ダート,1200,重,オープン,
349,ダート,1200,不,オープン,
350,ダート,1400,全,all,84923
351,ダート,1400,良,all,85052
352,ダート,1400,稍重,all,84822
353,ダート,1400,重,all,86200
354,ダート,1400,不,all,84066
355,ダート,1400,全,未勝利,85446
356,ダート,1400,良,未勝利,85933
357,ダート,1400,稍重,未勝利,85600
358,ダート,1400,重,未勝利,86200
359,ダート,1400,不,未勝利,84066
360,ダート,1400,全,新馬,
361,ダート,1400,良,新馬,
362,ダート,1400,稍重,新馬,
363,ダート,1400,重,新馬,
364,ダート,1400,不,新馬,
365,ダート,1400,全,1勝クラス,85037
366,ダート,1400,良,1勝クラス,85000
367,ダート,1400,稍重,1勝クラス,85100
368,ダート,1400,重,1勝クラス,
369,ダート,1400,不,1勝クラス,
370,ダート,1400,全,2勝クラス,84300
371,ダート,1400,良,2勝クラス,84433
