,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
47,芝,1400,稍重,新馬,,,,,
48,芝,1400,重,新馬,36.8,5.6,4.5,,
49,芝,1400,不良,新馬,,,,,
50,芝,1400,全,1勝クラス,35.2,8.6,7.9,,
51,芝,1400,良,1勝クラス,34.9,9.2,8.6,,
52,芝,1400,稍重,1勝クラス,35.6,7.5,6.8,,
53,芝,1400,重,1勝クラス,,,,,
54,芝,1400,不良,1勝クラス,,,,,
55,芝,1400,全,2勝クラス,35.0,4.7,4.9,,
56,芝,1400,良,2勝クラス,35.0,4.7,4.9,,
57,芝,1400,稍重,2勝クラス,,,,,
58,芝,1400,重,2勝クラス,,,,,
59,芝,1400,不良,2勝クラス,,,,,
60,芝,1400,全,3勝クラス,34.3,8.8,8.3,,
61,芝,1400,良,3勝クラス,34.0,10.7,9.9,,
62,芝,1400,稍重,3勝クラス,35.0,3.3,3.3,,
63,芝,1400,重,3勝クラス,,,,,
64,芝,1400,不良,3勝クラス,,,,,
65,芝,1400,全,オープン,34.4,7.3,7.6,,
66,芝,1400,良,オープン,34.2,6.5,6.8,,
67,芝,1400,稍重,オープン,35.1,10.0,10.0,,
68,芝,1400,重,オープン,,,,,
69,芝,1400,不良,オープン,,,,,
70,芝,1600,全,all,34.6,6.1,5.9,,
71,芝,1600,良,all,34.2,5.8,5.8,,
72,芝,1600,稍重,all,35.2,6.3,5.8,,
73,芝,1600,重,all,35.9,7.9,7.3,,
74,芝,1600,不良,all,,,,,
75,芝,1600,全,未勝利,35.0,3.2,3.4,,
76,芝,1600,良,未勝利,34.6,3.1,3.2,,
77,芝,1600,稍重,未勝利,35.5,3.5,3.7,,
78,芝,1600,重,未勝利,35.7,3.0,3.0,,
79,芝,1600,不良,未勝利,,,,,
80,芝,1600,全,新馬,34.6,5.5,5.4,,
81,芝,1600,良,新馬,34.1,5.5,5.9,,
82,芝,1600,稍重,新馬,35.6,2.9,1.5,,
83,芝,1600,重,新馬,35.8,11.1,9.7,,
84,芝,1600,不良,新馬,,,,,
85,芝,1600,全,1勝クラス,34.5,6.8,6.4,,
86,芝,1600,良,1勝クラス,34.2,6.2,6.4,,
87,芝,1600,稍重,1勝クラス,35.0,10.2,7.6,,
88,芝,1600,重,1勝クラス,35.5,4.5,4.5,,
89,芝,1600,不良,1勝クラス,,,,,
90,芝,1600,全,2勝クラス,34.2,7.6,8.4,,
91,芝,1600,良,2勝クラス,34.1,7.8,8.4,,
92,芝,1600,稍重,2勝クラス,34.5,7.2,8.4,,
93,芝,1600,重,2勝クラス,,,,,
94,芝,1600,不良,2勝クラス,,,,,
95,芝,1600,全,3勝クラス,33.7,11.7,11.3,,
96,芝,1600,良,3勝クラス,33.5,11.1,11.1,,
97,芝,1600,稍重,3勝クラス,34.4,14.0,12.0,,
98,芝,1600,重,3勝クラス,,,,,
99,芝,1600,不良,3勝クラス,,,,,
100,芝,1600,全,オープン,34.5,7.0,6.2,,
101,芝,1600,良,オープン,34.0,5.6,4.9,,
102,芝,1600,稍重,オープン,35.6,10.3,8.8,,
103,芝,1600,重,オープン,36.6,13.0,12.0,,
104,芝,1600,不良,オープン,,,,,
105,芝,1800,全,all,34.8,6.3,5.7,,
