,race_type,course_len,ground_state,class,馬体重
147,芝,2600,稍重,未勝利,
148,芝,2600,重,未勝利,
149,芝,2600,不良,未勝利,
150,芝,2600,全,新馬,
151,芝,2600,良,新馬,
152,芝,2600,稍重,新馬,
153,芝,2600,重,新馬,
154,芝,2600,不良,新馬,
155,芝,2600,全,1勝クラス,496.0
156,芝,2600,良,1勝クラス,496.0
157,芝,2600,稍重,1勝クラス,
158,芝,2600,重,1勝クラス,
159,芝,2600,不良,1勝クラス,
160,芝,2600,全,2勝クラス,459.0
161,芝,2600,良,2勝クラス,452.0
162,芝,2600,稍重,2勝クラス,466.0
163,芝,2600,重,2勝クラス,
164,芝,2600,不良,2勝クラス,
165,芝,2600,全,3勝クラス,
166,芝,2600,良,3勝クラス,
167,芝,2600,稍重,3勝クラス,
168,芝,2600,重,3勝クラス,
169,芝,2600,不良,3勝クラス,
170,芝,2600,全,オープン,488.0
171,芝,2600,良,オープン,488.0
172,芝,2600,稍重,オープン,
173,芝,2600,重,オープン,
174,芝,2600,不良,オープン,
175,ダート,1000,全,all,463.8
176,ダート,1000,良,all,464.7
177,ダート,1000,稍重,all,494.0
178,ダート,1000,重,all,442.0
179,ダート,1000,不良,all,
180,ダート,1000,全,未勝利,463.1
181,ダート,1000,良,未勝利,464.8
182,ダート,1000,稍重,未勝利,
183,ダート,1000,重,未勝利,450.0
184,ダート,1000,不良,未勝利,
185,ダート,1000,全,新馬,434.0
186,ダート,1000,良,新馬,434.0
187,ダート,1000,稍重,新馬,
188,ダート,1000,重,新馬,
189,ダート,1000,不良,新馬,
190,ダート,1000,全,1勝クラス,464.7
191,ダート,1000,良,1勝クラス,470.8
192,ダート,1000,稍重,1勝クラス,
193,ダート,1000,重,1勝クラス,434.0
194,ダート,1000,不良,1勝クラス,
195,ダート,1000,全,2勝クラス,479.0
196,ダート,1000,良,2勝クラス,464.0
197,ダート,1000,稍重,2勝クラス,494.0
198,ダート,1000,重,2勝クラス,
199,ダート,1000,不良,2勝クラス,
200,ダート,1000,全,3勝クラス,
201,ダート,1000,良,3勝クラス,
202,ダート,1000,稍重,3勝クラス,
203,ダート,1000,重,3勝クラス,
204,ダート,1000,不良,3勝クラス,
205,ダート,1000,全,オープン,
206,ダート,1000,良,オープン,
207,ダート,1000,稍重,オープン,
208,ダート,1000,重,オープン,
209,ダート,1000,不良,オープン,
