,race_type,course_len,ground_state,class,win_return
80,芝,1800,全,新馬,2337.5
81,芝,1800,良,新馬,2337.5
82,芝,1800,稍重,新馬,
83,芝,1800,重,新馬,
84,芝,1800,不良,新馬,
85,芝,1800,全,1勝クラス,997.1
86,芝,1800,良,1勝クラス,716.0
87,芝,1800,稍重,1勝クラス,1700.0
88,芝,1800,重,1勝クラス,
89,芝,1800,不良,1勝クラス,
90,芝,1800,全,2勝クラス,1861.4
91,芝,1800,良,2勝クラス,1370.0
92,芝,1800,稍重,2勝クラス,600.0
93,芝,1800,重,2勝クラス,6350.0
94,芝,1800,不良,2勝クラス,
95,芝,1800,全,3勝クラス,1650.0
96,芝,1800,良,3勝クラス,1650.0
97,芝,1800,稍重,3勝クラス,
98,芝,1800,重,3勝クラス,
99,芝,1800,不良,3勝クラス,
100,芝,1800,全,オープン,694.0
101,芝,1800,良,オープン,776.7
102,芝,1800,稍重,オープン,
103,芝,1800,重,オープン,570.0
104,芝,1800,不良,オープン,
105,芝,2000,全,all,1003.3
106,芝,2000,良,all,1046.3
107,芝,2000,稍重,all,680.0
108,芝,2000,重,all,320.0
109,芝,2000,不良,all,
110,芝,2000,全,未勝利,1103.1
111,芝,2000,良,未勝利,1142.7
112,芝,2000,稍重,未勝利,510.0
113,芝,2000,重,未勝利,
114,芝,2000,不良,未勝利,
115,芝,2000,全,新馬,746.7
116,芝,2000,良,新馬,803.8
117,芝,2000,稍重,新馬,290.0
118,芝,2000,重,新馬,
119,芝,2000,不良,新馬,
120,芝,2000,全,1勝クラス,976.7
121,芝,2000,良,1勝クラス,1070.0
122,芝,2000,稍重,1勝クラス,230.0
123,芝,2000,重,1勝クラス,
124,芝,2000,不良,1勝クラス,
125,芝,2000,全,2勝クラス,321.4
126,芝,2000,良,2勝クラス,321.7
127,芝,2000,稍重,2勝クラス,
128,芝,2000,重,2勝クラス,320.0
129,芝,2000,不良,2勝クラス,
130,芝,2000,全,3勝クラス,623.3
131,芝,2000,良,3勝クラス,623.3
132,芝,2000,稍重,3勝クラス,
133,芝,2000,重,3勝クラス,
134,芝,2000,不良,3勝クラス,
135,芝,2000,全,オープン,1984.3
136,芝,2000,良,オープン,2033.3
137,芝,2000,稍重,オープン,1690.0
138,芝,2000,重,オープン,
139,芝,2000,不良,オープン,
140,芝,2200,全,all,739.4
141,芝,2200,良,all,767.5
142,芝,2200,稍重,all,290.0
143,芝,2200,重,all,
144,芝,2200,不良,all,
145,芝,2200,全,未勝利,318.3
146,芝,2200,良,未勝利,324.0
147,芝,2200,稍重,未勝利,290.0
148,芝,2200,重,未勝利,
149,芝,2200,不良,未勝利,
150,芝,2200,全,新馬,
