,0,1,2,3
202101010210,複勝,13,130,1
202101010210,複勝,6,290,6
202101010210,複勝,2,170,4
202101010210,枠連,5-8,730,2
202101010210,馬連,6-13,2530,10
202101010210,ワイド,6-13,710,8
202101010210,ワイド,2-13,320,2
202101010210,ワイド,2-6,1040,14
202101010210,馬単,13→6,3640,14
202101010210,三連複,2-6-13,2860,9
202101010210,三連単,13→6→2,18790,56
202101010211,単勝,14,800,5
202101010211,複勝,14,260,5
202101010211,複勝,16,130,1
202101010211,複勝,7,240,4
202101010211,枠連,7-8,840,1
202101010211,馬連,14-16,1010,1
202101010211,ワイド,14-16,450,1
202101010211,ワイド,7-14,1220,12
202101010211,ワイド,7-16,560,4
202101010211,馬単,14→16,2480,7
202101010211,三連複,7-14-16,2980,5
202101010211,三連単,14→16→7,15280,28
202101010212,単勝,9,600,3
202101010212,複勝,9,160,3
202101010212,複勝,2,110,1
202101010212,複勝,10,260,5
202101010212,枠連,2-8,380,1
202101010212,馬連,2-9,510,2
202101010212,ワイド,2-9,250,2
202101010212,ワイド,9-10,980,15
202101010212,ワイド,2-10,490,5
202101010212,馬単,9→2,1670,6
202101010212,三連複,2-9-10,2050,6
202101010212,三連単,9→2→10,13140,40
202101010301,単勝,2,4020,9
202101010301,複勝,2,650,8
202101010301,複勝,11,160,2
202101010301,複勝,4,140,1
202101010301,枠連,1-6,3600,11
202101010301,馬連,2-11,8290,24
202101010301,ワイド,2-11,1830,19
202101010301,ワイド,2-4,1560,16
202101010301,ワイド,4-11,340,2
202101010301,馬単,2→11,25430,65
202101010301,三連複,2-4-11,7170,20
202101010301,三連単,2→11→4,90590,281
202101010302,単勝,11,490,2
202101010302,複勝,11,210,5
202101010302,複勝,1,130,2
202101010302,複勝,2,130,1
202101010302,枠連,1-7,480,1
202101010302,馬連,1-11,1050,2
202101010302,ワイド,1-11,480,4
202101010302,ワイド,2-11,640,8
202101010302,ワイド,1-2,270,1
202101010302,馬単,11→1,2370,7
202101010302,三連複,1-2-11,1630,3
202101010302,三連単,11→1→2,8930,13
202101010303,単勝,9,390,2
202101010303,複勝,9,180,2
202101010303,複勝,10,600,9
202101010303,複勝,1,180,4
202101010303,枠連,6-7,500,1
202101010303,馬連,9-10,10960,32
202101010303,ワイド,9-10,3560,38
202101010303,ワイド,1-9,700,6
202101010303,ワイド,1-10,2260,26
202101010303,馬単,9→10,13890,47
202101010303,三連複,1-9-10,15030,45
202101010303,三連単,9→10→1,87670,272
202101010304,単勝,9,1150,5
202101010304,複勝,9,200,5
202101010304,複勝,5,150,2
202101010304,枠連,6-7,1060,4
202101010304,馬連,7-9,950,3
202101010304,ワイド,7-9,320,3
202101010304,ワイド,5-9,520,8
202101010304,ワイド,5-7,230,1
202101010304,馬単,9→7,2690,9
202101010304,三連複,5-7-9,1140,2
202101010304,三連単,9→7→5,11990,38
202101010305,単勝,7,710,3
202101010305,複勝,7,230,3
202101010305,複勝,11,360,8
202101010305,複勝,5,170,2
202101010305,枠連,6-8,1620,9
202101010305,馬連,7-11,4470,23
202101010305,ワイド,7-11,1420,24
202101010305,ワイド,5-7,490,2
202101010305,ワイド,5-11,1290,20
202101010305,馬単,7→11,8350,40
202101010305,三連複,5-7-11,6540,25
202101010305,三連単,7→11→5,41760,164
202101010306,単勝,7,180,1
202101010306,複勝,4,160,3
202101010306,複勝,2,220,5
202101010306,馬連,4-7,520,2
202101010306,ワイド,4-7,220,2
202101010306,ワイド,2-7,400,6
202101010306,ワイド,2-4,830,12
202101010306,馬単,7→4,600,2
202101010306,三連複,2-4-7,1580,6
202101010306,三連単,7→4→2,3610,7
202101010307,単勝,5,200,1
202101010307,複勝,5,110,1
202101010307,複勝,12,390,7
202101010307,複勝,4,150,2
202101010307,枠連,4-7,1830,7
202101010307,馬連,5-12,2420,8
202101010307,ワイド,5-12,720,8
202101010307,ワイド,4-5,210,1
202101010307,ワイド,4-12,1110,15
202101010307,馬単,5→12,3180,11
202101010307,三連複,4-5-12,2950,8
202101010307,三連単,5→12→4,13210,32
202101010308,単勝,4,4290,11
202101010308,複勝,4,800,10
202101010308,複勝,6,360,5
202101010308,枠連,4-7,7470,20
202101010308,馬連,4-9,15180,41
202101010308,ワイド,4-9,3890,39
202101010308,ワイド,4-6,9280,58
202101010308,ワイド,6-9,1190,13
202101010308,馬単,4→9,25590,75
202101010308,三連複,4-6-9,63600,140
202101010308,三連単,4→9→6,507630,921
202101010309,単勝,10,290,2
202101010309,複勝,10,130,2
202101010309,複勝,7,120,1
202101010309,複勝,1,150,3
202101010309,枠連,7-8,330,1
202101010309,馬連,7-10,420,1
202101010309,ワイド,7-10,180,1
202101010309,ワイド,1-10,350,3
202101010309,ワイド,1-7,320,2
202101010309,馬単,10→7,780,1
202101010309,三連複,1-7-10,800,1
202101010309,三連単,10→7→1,3030,1
202101010310,単勝,2,130,1
202101010310,複勝,2,100,1
202101010310,複勝,6,140,3
202101010310,複勝,5,110,2
202101010310,馬連,2-6,400,2
202101010310,ワイド,2-6,170,2
202101010310,ワイド,2-5,140,1
202101010310,ワイド,5-6,340,6
202101010310,馬単,2→6,520,2
202101010310,三連複,2-5-6,450,1
202101010310,三連単,2→6→5,1310,2
202101010311,複勝,1,120,1
202101010311,複勝,9,120,2
202101010311,複勝,8,190,4
202101010311,枠連,1-8,340,1
202101010311,馬連,1-9,380,1
202101010311,ワイド,1-9,200,1
202101010311,ワイド,1-8,420,5
202101010311,ワイド,8-9,430,6
202101010311,馬単,1→9,680,1
202101010311,三連複,1-8-9,1220,3
202101010311,三連単,1→9→8,3980,7
202101010312,単勝,1,340,2
202101010312,複勝,1,180,2
202101010312,複勝,3,500,7
202101010312,複勝,4,270,4
202101010312,枠連,1-2,1300,6
202101010312,馬連,1-3,3530,12
202101010312,ワイド,1-3,1080,10
202101010312,ワイド,1-4,810,7
202101010312,ワイド,3-4,2550,26
202101010312,馬単,1→3,6430,22
202101010312,三連複,1-3-4,10170,33
202101010312,三連単,1→3→4,50870,151
202101010401,単勝,14,240,1
202101010401,複勝,14,120,1
202101010401,複勝,6,390,6
202101010401,複勝,4,200,3
202101010401,枠連,3-7,1730,8
202101010401,馬連,6-14,2260,6
202101010401,ワイド,6-14,1030,9
202101010401,ワイド,4-14,420,2
202101010401,ワイド,4-6,1420,15
202101010401,馬単,14→6,3610,10
202101010401,三連複,4-6-14,4220,11
202101010401,三連単,14→6→4,19670,48
202101010402,単勝,5,250,1
202101010402,複勝,5,130,1
202101010402,複勝,1,230,5
202101010402,複勝,9,460,7
202101010402,枠連,1-5,1320,5
202101010402,馬連,1-5,1140,4
202101010402,ワイド,1-5,470,6
202101010402,ワイド,5-9,970,14
202101010402,ワイド,1-9,1940,21
202101010402,馬単,5→1,1910,6
202101010402,三連複,1-5-9,5810,24
202101010402,三連単,5→1→9,19810,67
202101010403,単勝,10,540,3
202101010403,複勝,10,190,4
202101010403,複勝,5,430,8
202101010403,複勝,8,180,3
202101010403,枠連,5-8,4270,14
202101010403,馬連,5-10,3890,17
202101010403,ワイド,5-10,1560,20
202101010403,ワイド,8-10,570,6
202101010403,ワイド,5-8,1950,23
202101010403,馬単,10→5,4480,17
202101010403,三連複,5-8-10,7050,28
202101010403,三連単,10→5→8,39890,152
202101010404,単勝,6,510,4
202101010404,複勝,10,150,1
202101010404,複勝,1,250,6
202101010404,枠連,6-8,660,3
202101010404,馬連,6-10,1050,3
202101010404,ワイド,6-10,380,3
202101010404,ワイド,1-6,800,14
202101010404,ワイド,1-10,460,7
202101010404,馬単,6→10,2490,10
202101010404,三連複,1-6-10,2540,10
202101010404,三連単,6→10→1,16750,68
202101010405,単勝,16,420,3
202101010405,複勝,16,190,3
202101010405,複勝,6,330,5
202101010405,複勝,4,430,6
202101010405,枠連,3-8,2990,15
202101010405,馬連,6-16,3020,12
202101010405,ワイド,6-16,1130,13
202101010405,ワイド,4-16,1280,14
202101010405,ワイド,4-6,2620,29
202101010405,馬単,16→6,4400,14
202101010405,三連複,4-6-16,14140,43
