month,day,course,times,days
6,1,8,4,1
6,2,5,3,2
6,2,8,4,2
6,8,2,1,1
6,8,5,3,3
6,8,8,4,3
6,9,2,1,2
6,9,5,3,4
6,9,8,4,4
6,15,2,1,3
6,15,5,3,5
6,15,8,4,5
6,16,2,1,4
6,16,5,3,6
6,16,8,4,6
6,22,2,1,5
6,22,5,3,7
6,22,8,4,7
6,23,2,1,6
6,23,5,3,8
6,23,8,4,8
6,29,2,1,7
6,29,3,2,1
6,29,10,3,1
6,30,2,1,8
6,30,3,2,2
6,30,10,3,2
7,6,2,1,9
7,6,3,2,3
7,6,10,3,3
7,7,2,1,10
7,7,3,2,4
7,7,10,3,4
7,13,2,1,11
7,13,3,2,5
7,13,10,3,5
7,14,2,1,12
7,14,3,2,6
7,14,10,3,6
7,20,1,1,1
7,20,3,2,7
7,20,10,3,7
7,21,1,1,2
7,21,3,2,8
7,21,10,3,8
7,27,1,1,3
7,27,4,2,1
7,28,1,1,4
7,28,4,2,2
8,3,1,1,5
8,3,4,2,3
8,4,1,1,6
8,4,4,2,4
8,10,1,2,1
8,10,4,3,1
8,10,7,2,1
8,11,1,2,2
8,11,4,3,2
8,11,7,2,2
8,17,1,2,3
8,17,4,3,3
8,17,7,2,3
8,18,1,2,4
8,18,4,3,4
8,18,7,2,4
8,24,1,2,5
8,24,4,3,5
8,24,7,2,5
8,25,1,2,6
8,25,4,3,6
8,25,7,2,6
8,31,1,2,7
8,31,4,3,7
8,31,7,2,7
9,1,1,2,8
9,1,4,3,8
9,1,7,2,8
9,7,6,4,1
9,7,7,3,1
9,8,6,4,2
9,8,7,3,2
9,14,6,4,3
9,14,7,3,3
9,15,6,4,4
9,15,7,3,4
9,16,6,4,5
9,16,7,3,5
9,21,6,4,6
9,21,7,3,6
9,22,6,4,7
9,22,7,3,7
9,28,6,4,8
9,28,7,3,8
9,29,6,4,9
9,29,7,3,9
10,5,4,4,1
10,5,5,4,1
10,5,8,5,1
10,6,4,4,2
10,6,5,4,2
10,6,8,5,2
10,12,4,4,3
10,12,8,5,3
10,13,5,4,3
10,13,8,5,4
10,14,4,4,4
10,14,5,4,4
10,19,4,4,5
10,19,5,4,5
10,19,8,5,5
10,20,4,4,6
10,20,5,4,6
10,20,8,5,6
10,26,4,4,7
10,26,5,4,7
10,26,8,5,7
10,27,4,4,8
10,27,5,4,8
10,27,8,5,8
11,2,3,3,1
11,2,5,5,1
11,2,8,6,1
11,3,3,3,2
11,3,5,5,2
11,3,8,6,2
11,9,3,3,3
11,9,5,5,3
11,9,8,6,3
11,10,3,3,4
11,10,5,5,4
11,10,8,6,4
11,16,3,3,5
11,16,5,5,5
11,16,8,6,5
11,17,3,3,6
11,17,5,5,6
11,17,8,6,6
11,23,5,5,7
11,23,8,6,7
11,24,5,5,8
11,24,8,6,8
11,30,6,5,1
11,30,7,4,1
11,30,8,7,1
12,1,6,5,2
12,1,7,4,2
12,1,8,7,2
12,7,6,5,3
12,7,7,4,3
12,7,8,7,3
12,8,6,5,4
12,8,7,4,4
12,8,8,7,4
12,14,6,5,5
12,14,7,4,5
12,14,8,7,5
12,15,6,5,6
12,15,7,4,6
12,15,8,7,6
12,21,6,5,7
12,21,8,7,7
12,22,6,5,8
12,22,8,7,8
12,28,6,5,9
12,28,8,7,9
