,race_type,course_len,ground_state,class,avg_time
95,芝,1800,全,3勝クラス,106500
96,芝,1800,良,3勝クラス,106500
97,芝,1800,稍重,3勝クラス,
98,芝,1800,重,3勝クラス,
99,芝,1800,不,3勝クラス,
100,芝,1800,全,オープン,106150
101,芝,1800,良,オープン,106150
102,芝,1800,稍重,オープン,
103,芝,1800,重,オープン,
104,芝,1800,不,オープン,
105,芝,2000,全,all,122065
106,芝,2000,良,all,121170
107,芝,2000,稍重,all,122061
108,芝,2000,重,all,124216
109,芝,2000,不,all,127100
110,芝,2000,全,未勝利,122617
111,芝,2000,良,未勝利,121900
112,芝,2000,稍重,未勝利,123300
113,芝,2000,重,未勝利,123900
114,芝,2000,不,未勝利,
115,芝,2000,全,新馬,124766
116,芝,2000,良,新馬,121600
117,芝,2000,稍重,新馬,
118,芝,2000,重,新馬,125600
119,芝,2000,不,新馬,127100
120,芝,2000,全,1勝クラス,121338
121,芝,2000,良,1勝クラス,120766
122,芝,2000,稍重,1勝クラス,121828
123,芝,2000,重,1勝クラス,
124,芝,2000,不,1勝クラス,
125,芝,2000,全,2勝クラス,120833
126,芝,2000,良,2勝クラス,120150
127,芝,2000,稍重,2勝クラス,122200
128,芝,2000,重,2勝クラス,
129,芝,2000,不,2勝クラス,
130,芝,2000,全,3勝クラス,120950
131,芝,2000,良,3勝クラス,
132,芝,2000,稍重,3勝クラス,120950
133,芝,2000,重,3勝クラス,
134,芝,2000,不,3勝クラス,
135,芝,2000,全,オープン,121000
136,芝,2000,良,オープン,117900
137,芝,2000,稍重,オープン,
138,芝,2000,重,オープン,124100
139,芝,2000,不,オープン,
140,芝,2600,全,all,160636
141,芝,2600,良,all,159962
142,芝,2600,稍重,all,162433
143,芝,2600,重,all,
144,芝,2600,不,all,
145,芝,2600,全,未勝利,160000
146,芝,2600,良,未勝利,160000
147,芝,2600,稍重,未勝利,
148,芝,2600,重,未勝利,
149,芝,2600,不,未勝利,
150,芝,2600,全,新馬,
151,芝,2600,良,新馬,
152,芝,2600,稍重,新馬,
153,芝,2600,重,新馬,
154,芝,2600,不,新馬,
