,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
270,芝,2400,全,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,芝,2400,良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,芝,2400,稍重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,芝,2400,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,芝,2400,不良,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,芝,2400,全,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,芝,2400,良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,芝,2400,稍重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,芝,2400,重,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,芝,2400,不良,オープン,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,ダート,1200,全,all,4.84,7.97,276,21,31,37,38,28,41,35,45,21,17,16,24,16,15,24,13,17,22,22,15,15,17,22,0,0,0
281,ダート,1200,良,all,4.9,8.13,171,12,20,22,22,20,21,26,28,12,11,9,14,11,10,13,9,10,14,9,11,11,14,13,0,0,0
282,ダート,1200,稍重,all,5.08,8.21,24,2,1,4,3,1,7,1,5,2,0,2,2,1,0,4,0,2,3,5,0,0,0,3,0,0,0
283,ダート,1200,重,all,4.52,7.27,48,4,7,8,7,3,8,4,7,4,5,3,5,4,3,2,2,3,4,4,1,2,1,5,0,0,0
284,ダート,1200,不良,all,4.85,7.97,33,3,3,3,6,4,5,4,5,3,1,2,3,0,2,5,2,2,1,4,3,2,2,1,0,0,0
285,ダート,1200,全,未勝利,4.89,8.26,126,10,14,14,16,16,21,14,21,10,8,6,9,6,8,7,9,8,10,11,5,9,8,12,0,0,0
286,ダート,1200,良,未勝利,5.0,8.47,78,6,9,8,8,11,11,11,14,6,6,3,5,4,3,4,6,6,6,5,3,7,6,8,0,0,0
287,ダート,1200,稍重,未勝利,4.78,8.33,9,1,1,1,1,1,2,0,2,1,0,1,1,0,0,1,0,1,1,1,0,0,0,2,0,0,0
