,race_type,course_len,ground_state,class,馬体重
242,芝,2400,稍重,オープン,456.0
243,芝,2400,重,オープン,
244,芝,2400,不良,オープン,
245,芝,3000,全,all,468.0
246,芝,3000,良,all,468.0
247,芝,3000,稍重,all,
248,芝,3000,重,all,
249,芝,3000,不良,all,
250,芝,3000,全,未勝利,
251,芝,3000,良,未勝利,
252,芝,3000,稍重,未勝利,
253,芝,3000,重,未勝利,
254,芝,3000,不良,未勝利,
255,芝,3000,全,新馬,
256,芝,3000,良,新馬,
257,芝,3000,稍重,新馬,
258,芝,3000,重,新馬,
259,芝,3000,不良,新馬,
260,芝,3000,全,1勝クラス,
261,芝,3000,良,1勝クラス,
262,芝,3000,稍重,1勝クラス,
263,芝,3000,重,1勝クラス,
264,芝,3000,不良,1勝クラス,
265,芝,3000,全,2勝クラス,
266,芝,3000,良,2勝クラス,
267,芝,3000,稍重,2勝クラス,
268,芝,3000,重,2勝クラス,
269,芝,3000,不良,2勝クラス,
270,芝,3000,全,3勝クラス,
271,芝,3000,良,3勝クラス,
272,芝,3000,稍重,3勝クラス,
273,芝,3000,重,3勝クラス,
274,芝,3000,不良,3勝クラス,
275,芝,3000,全,オープン,468.0
276,芝,3000,良,オープン,468.0
277,芝,3000,稍重,オープン,
278,芝,3000,重,オープン,
279,芝,3000,不良,オープン,
280,芝,3200,全,all,490.0
281,芝,3200,良,all,490.0
282,芝,3200,稍重,all,
283,芝,3200,重,all,
284,芝,3200,不良,all,
285,芝,3200,全,未勝利,
286,芝,3200,良,未勝利,
287,芝,3200,稍重,未勝利,
288,芝,3200,重,未勝利,
289,芝,3200,不良,未勝利,
290,芝,3200,全,新馬,
291,芝,3200,良,新馬,
292,芝,3200,稍重,新馬,
293,芝,3200,重,新馬,
294,芝,3200,不良,新馬,
295,芝,3200,全,1勝クラス,
296,芝,3200,良,1勝クラス,
297,芝,3200,稍重,1勝クラス,
298,芝,3200,重,1勝クラス,
299,芝,3200,不良,1勝クラス,
