race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1200,稍重,all,470,15,17,18,175
ダート,1200,稍重,all,480,18,13,19,144
ダート,1200,稍重,all,490,14,9,11,113
ダート,1200,稍重,all,500,10,6,9,97
ダート,1200,稍重,all,510,10,8,2,50
ダート,1200,稍重,all,520,5,3,5,34
ダート,1200,稍重,all,530,1,2,2,18
ダート,1200,稍重,all,540,0,1,1,9
ダート,1200,稍重,all,550,0,1,1,10
ダート,1200,稍重,オープン,410,0,0,0,1
ダート,1200,稍重,オープン,440,0,1,0,1
ダート,1200,稍重,オープン,450,0,0,0,4
ダート,1200,稍重,オープン,460,0,0,0,2
ダート,1200,稍重,オープン,470,0,0,1,5
ダート,1200,稍重,オープン,480,0,0,0,4
ダート,1200,稍重,オープン,490,0,1,1,9
ダート,1200,稍重,オープン,500,3,0,0,14
ダート,1200,稍重,オープン,510,1,1,1,6
ダート,1200,稍重,オープン,520,0,1,1,2
ダート,1200,稍重,オープン,530,0,0,0,2
ダート,1200,稍重,オープン,540,0,0,0,1
ダート,1200,稍重,オープン,550,0,0,0,1
ダート,1200,稍重,新馬,390,0,0,0,1
ダート,1200,稍重,新馬,400,0,0,1,0
ダート,1200,稍重,新馬,410,0,0,0,1
ダート,1200,稍重,新馬,420,0,0,0,7
ダート,1200,稍重,新馬,430,0,1,0,4
ダート,1200,稍重,新馬,440,0,0,0,7
ダート,1200,稍重,新馬,450,0,1,1,7
ダート,1200,稍重,新馬,460,0,1,0,4
ダート,1200,稍重,新馬,480,2,1,2,5
ダート,1200,稍重,新馬,490,0,0,0,3
ダート,1200,稍重,新馬,500,1,0,0,4
ダート,1200,稍重,新馬,510,0,0,0,3
ダート,1200,稍重,新馬,520,1,0,0,1
ダート,1200,稍重,新馬,540,0,0,0,1
ダート,1200,稍重,未勝利,380,0,0,0,1
ダート,1200,稍重,未勝利,390,0,0,0,5
ダート,1200,稍重,未勝利,400,0,0,1,15
ダート,1200,稍重,未勝利,410,0,1,0,17
ダート,1200,稍重,未勝利,420,1,1,1,34
ダート,1200,稍重,未勝利,430,2,1,1,49
ダート,1200,稍重,未勝利,440,4,3,4,53
ダート,1200,稍重,未勝利,450,7,6,5,56
ダート,1200,稍重,未勝利,460,2,10,3,56
ダート,1200,稍重,未勝利,470,4,5,9,69
ダート,1200,稍重,未勝利,480,10,3,7,54
ダート,1200,稍重,未勝利,490,6,3,4,28
ダート,1200,稍重,未勝利,500,3,3,2,21
ダート,1200,稍重,未勝利,510,1,3,0,12
ダート,1200,稍重,未勝利,520,1,0,1,4
ダート,1200,稍重,未勝利,530,0,1,1,6
ダート,1200,稍重,未勝利,540,0,0,1,1
ダート,1200,稍重,未勝利,550,0,1,1,3
ダート,1200,良,1勝クラス,400,0,0,1,2
ダート,1200,良,1勝クラス,410,2,1,1,5
ダート,1200,良,1勝クラス,420,0,0,1,25
ダート,1200,良,1勝クラス,430,1,3,1,43
ダート,1200,良,1勝クラス,440,4,5,6,68
ダート,1200,良,1勝クラス,450,9,6,5,81
ダート,1200,良,1勝クラス,460,12,13,12,84
ダート,1200,良,1勝クラス,470,9,11,11,116
ダート,1200,良,1勝クラス,480,8,14,12,104
ダート,1200,良,1勝クラス,490,10,5,7,87
ダート,1200,良,1勝クラス,500,7,5,3,66
ダート,1200,良,1勝クラス,510,3,3,4,31
ダート,1200,良,1勝クラス,520,2,2,5,23
ダート,1200,良,1勝クラス,530,2,1,0,9
ダート,1200,良,1勝クラス,540,0,0,0,5
ダート,1200,良,1勝クラス,550,0,0,0,2
ダート,1200,良,2勝クラス,390,0,0,0,1
ダート,1200,良,2勝クラス,400,0,0,0,1
ダート,1200,良,2勝クラス,410,0,1,0,1
ダート,1200,良,2勝クラス,420,1,1,0,5
ダート,1200,良,2勝クラス,430,0,2,2,17
ダート,1200,良,2勝クラス,440,2,3,2,35
ダート,1200,良,2勝クラス,450,5,3,5,54
ダート,1200,良,2勝クラス,460,8,4,4,83
ダート,1200,良,2勝クラス,470,6,5,9,68
ダート,1200,良,2勝クラス,480,1,3,7,85
ダート,1200,良,2勝クラス,490,10,7,7,80
ダート,1200,良,2勝クラス,500,2,9,5,51
ダート,1200,良,2勝クラス,510,3,2,1,39
ダート,1200,良,2勝クラス,520,3,2,1,10
ダート,1200,良,2勝クラス,530,3,0,1,23
ダート,1200,良,2勝クラス,540,0,2,1,6
ダート,1200,良,2勝クラス,550,1,1,0,2
ダート,1200,良,3勝クラス,420,0,0,0,3
ダート,1200,良,3勝クラス,430,0,0,0,2
ダート,1200,良,3勝クラス,440,1,1,1,5
ダート,1200,良,3勝クラス,450,2,3,1,18
ダート,1200,良,3勝クラス,460,0,2,4,24
ダート,1200,良,3勝クラス,470,2,4,2,44
ダート,1200,良,3勝クラス,480,3,3,3,36
ダート,1200,良,3勝クラス,490,4,3,0,35
ダート,1200,良,3勝クラス,500,4,3,6,38
ダート,1200,良,3勝クラス,510,4,1,1,18
ダート,1200,良,3勝クラス,520,0,0,1,12
ダート,1200,良,3勝クラス,530,1,0,1,7
ダート,1200,良,3勝クラス,540,0,0,1,8
ダート,1200,良,3勝クラス,550,0,1,0,5
ダート,1200,良,all,380,0,0,0,18
ダート,1200,良,all,390,0,0,1,14
ダート,1200,良,all,400,0,1,1,44
ダート,1200,良,all,410,4,3,3,75
ダート,1200,良,all,420,5,9,8,140
ダート,1200,良,all,430,8,13,12,220
ダート,1200,良,all,440,15,20,20,277
ダート,1200,良,all,450,39,27,27,364
ダート,1200,良,all,460,35,35,37,384
ダート,1200,良,all,470,40,49,46,417
ダート,1200,良,all,480,28,48,41,366
ダート,1200,良,all,490,37,23,25,313
ダート,1200,良,all,500,29,23,26,249
ダート,1200,良,all,510,17,11,12,153
ダート,1200,良,all,520,8,9,9,61
ダート,1200,良,all,530,9,2,4,58
ダート,1200,良,all,540,2,2,2,34
ダート,1200,良,all,550,1,2,2,14
ダート,1200,良,オープン,420,0,0,0,1
ダート,1200,良,オープン,440,0,0,0,3
ダート,1200,良,オープン,450,0,0,3,3
ダート,1200,良,オープン,460,0,0,0,9
ダート,1200,良,オープン,470,1,2,0,17
ダート,1200,良,オープン,480,0,2,1,22
ダート,1200,良,オープン,490,1,2,5,17
ダート,1200,良,オープン,500,4,3,2,26
ダート,1200,良,オープン,510,2,0,0,18
ダート,1200,良,オープン,520,2,2,0,8
ダート,1200,良,オープン,530,1,0,0,7
ダート,1200,良,オープン,540,0,0,0,4
ダート,1200,良,オープン,550,0,0,0,3
ダート,1200,良,新馬,380,0,0,0,6
ダート,1200,良,新馬,390,0,0,0,2
ダート,1200,良,新馬,400,0,0,0,3
ダート,1200,良,新馬,410,0,0,0,9
ダート,1200,良,新馬,420,0,3,0,9
ダート,1200,良,新馬,430,3,1,0,15
ダート,1200,良,新馬,440,2,1,3,14
ダート,1200,良,新馬,450,3,1,0,26
ダート,1200,良,新馬,460,0,0,1,25
ダート,1200,良,新馬,470,3,2,4,19
ダート,1200,良,新馬,480,3,6,3,20
ダート,1200,良,新馬,490,2,2,2,16
ダート,1200,良,新馬,500,2,0,1,5
ダート,1200,良,新馬,510,0,2,1,4
ダート,1200,良,新馬,520,0,0,1,3
ダート,1200,良,新馬,530,0,0,0,1
ダート,1200,良,新馬,540,0,0,0,1
ダート,1200,良,新馬,550,0,0,1,0
ダート,1200,良,未勝利,380,0,0,0,12
ダート,1200,良,未勝利,390,0,0,1,11
ダート,1200,良,未勝利,400,0,1,0,38
ダート,1200,良,未勝利,410,2,1,2,60
ダート,1200,良,未勝利,420,4,5,7,96
ダート,1200,良,未勝利,430,4,7,9,142
ダート,1200,良,未勝利,440,6,10,8,148
ダート,1200,良,未勝利,450,20,14,13,178
ダート,1200,良,未勝利,460,15,15,15,152
ダート,1200,良,未勝利,470,18,24,19,146
ダート,1200,良,未勝利,480,13,18,15,96
ダート,1200,良,未勝利,490,9,4,4,69
ダート,1200,良,未勝利,500,9,3,8,56
ダート,1200,良,未勝利,510,5,3,4,38
ダート,1200,良,未勝利,520,1,3,1,4
ダート,1200,良,未勝利,530,1,1,2,11
ダート,1200,良,未勝利,540,2,0,0,7
ダート,1200,良,未勝利,550,0,0,1,2
ダート,1200,重,1勝クラス,410,0,0,1,0
ダート,1200,重,1勝クラス,420,0,0,0,3
ダート,1200,重,1勝クラス,430,0,1,3,5
ダート,1200,重,1勝クラス,440,2,0,0,8
ダート,1200,重,1勝クラス,450,1,2,0,10
ダート,1200,重,1勝クラス,460,2,0,1,17
ダート,1200,重,1勝クラス,470,0,2,1,20
ダート,1200,重,1勝クラス,480,2,2,1,24
ダート,1200,重,1勝クラス,490,1,2,4,9
ダート,1200,重,1勝クラス,500,3,0,1,15
ダート,1200,重,1勝クラス,510,1,3,0,7
ダート,1200,重,1勝クラス,520,0,0,0,5
ダート,1200,重,1勝クラス,530,0,0,0,3
ダート,1200,重,1勝クラス,550,0,0,0,1
ダート,1200,重,2勝クラス,410,0,0,0,2
ダート,1200,重,2勝クラス,420,0,0,0,2
ダート,1200,重,2勝クラス,430,0,0,0,4
ダート,1200,重,2勝クラス,440,1,0,0,4
ダート,1200,重,2勝クラス,450,1,0,0,7
ダート,1200,重,2勝クラス,460,2,1,4,19
ダート,1200,重,2勝クラス,470,0,1,2,7
ダート,1200,重,2勝クラス,480,0,0,1,14
ダート,1200,重,2勝クラス,490,1,2,1,14
ダート,1200,重,2勝クラス,500,1,1,0,13
ダート,1200,重,2勝クラス,510,1,2,0,8
ダート,1200,重,2勝クラス,520,1,1,0,6
ダート,1200,重,2勝クラス,530,0,0,0,1
ダート,1200,重,3勝クラス,420,0,0,1,0
ダート,1200,重,3勝クラス,430,0,0,0,1
ダート,1200,重,3勝クラス,440,0,0,0,3
ダート,1200,重,3勝クラス,450,0,0,0,1
ダート,1200,重,3勝クラス,460,1,1,1,7
ダート,1200,重,3勝クラス,470,2,1,1,14
ダート,1200,重,3勝クラス,480,1,3,0,11
