race_type,course_len,ground_state,class,人気,1着,2着,3着,着外
ダート,1200,全,オープン,15,0,0,1,15
ダート,1200,全,オープン,16,0,0,0,14
ダート,1200,全,新馬,1,11,4,8,5
ダート,1200,全,新馬,2,8,5,4,11
ダート,1200,全,新馬,3,1,5,4,18
ダート,1200,全,新馬,4,1,3,3,21
ダート,1200,全,新馬,5,4,3,3,18
ダート,1200,全,新馬,6,1,3,0,24
ダート,1200,全,新馬,7,0,0,0,27
ダート,1200,全,新馬,8,1,0,2,25
ダート,1200,全,新馬,9,0,1,1,25
ダート,1200,全,新馬,10,0,2,1,23
ダート,1200,全,新馬,11,0,0,0,24
ダート,1200,全,新馬,12,1,0,0,18
ダート,1200,全,新馬,13,0,2,1,12
ダート,1200,全,新馬,14,0,0,0,12
ダート,1200,全,新馬,15,0,0,0,10
ダート,1200,全,新馬,16,0,0,0,8
ダート,1200,全,未勝利,1,62,45,24,51
ダート,1200,全,未勝利,2,44,26,29,83
ダート,1200,全,未勝利,3,18,34,39,91
ダート,1200,全,未勝利,4,20,26,17,117
ダート,1200,全,未勝利,5,15,18,14,134
ダート,1200,全,未勝利,6,7,7,13,155
ダート,1200,全,未勝利,7,6,4,10,162
ダート,1200,全,未勝利,8,5,9,5,161
ダート,1200,全,未勝利,9,3,5,13,157
ダート,1200,全,未勝利,10,0,3,5,167
ダート,1200,全,未勝利,11,0,1,3,164
ダート,1200,全,未勝利,12,2,1,3,156
ダート,1200,全,未勝利,13,0,2,3,150
ダート,1200,全,未勝利,14,0,2,2,142
ダート,1200,全,未勝利,15,0,0,1,134
ダート,1200,全,未勝利,16,0,0,0,118
ダート,1200,稍重,1勝クラス,1,11,3,4,11
ダート,1200,稍重,1勝クラス,2,5,5,6,13
ダート,1200,稍重,1勝クラス,3,4,4,2,19
ダート,1200,稍重,1勝クラス,4,3,2,1,23
ダート,1200,稍重,1勝クラス,5,1,3,2,23
ダート,1200,稍重,1勝クラス,6,2,3,4,20
ダート,1200,稍重,1勝クラス,7,0,3,3,23
ダート,1200,稍重,1勝クラス,8,1,0,1,27
ダート,1200,稍重,1勝クラス,9,1,1,2,25
ダート,1200,稍重,1勝クラス,10,1,3,0,24
ダート,1200,稍重,1勝クラス,11,0,1,3,24
ダート,1200,稍重,1勝クラス,12,0,1,1,25
ダート,1200,稍重,1勝クラス,13,0,0,0,25
ダート,1200,稍重,1勝クラス,14,0,0,0,21
ダート,1200,稍重,1勝クラス,15,0,0,0,18
ダート,1200,稍重,1勝クラス,16,0,0,0,12
ダート,1200,稍重,2勝クラス,1,4,2,2,5
ダート,1200,稍重,2勝クラス,2,2,4,1,6
ダート,1200,稍重,2勝クラス,3,1,0,3,9
ダート,1200,稍重,2勝クラス,4,1,1,1,10
ダート,1200,稍重,2勝クラス,5,2,2,1,8
ダート,1200,稍重,2勝クラス,6,1,0,2,10
ダート,1200,稍重,2勝クラス,7,1,0,0,11
ダート,1200,稍重,2勝クラス,8,0,1,1,11
ダート,1200,稍重,2勝クラス,9,0,2,1,10
ダート,1200,稍重,2勝クラス,10,0,1,0,12
ダート,1200,稍重,2勝クラス,11,0,0,0,12
ダート,1200,稍重,2勝クラス,12,1,0,0,10
ダート,1200,稍重,2勝クラス,13,0,0,0,10
ダート,1200,稍重,2勝クラス,14,0,0,0,10
ダート,1200,稍重,2勝クラス,15,0,0,1,9
ダート,1200,稍重,2勝クラス,16,0,0,0,7
ダート,1200,稍重,3勝クラス,1,1,2,0,1
ダート,1200,稍重,3勝クラス,2,1,1,0,2
ダート,1200,稍重,3勝クラス,3,1,1,0,2
ダート,1200,稍重,3勝クラス,4,0,0,0,4
ダート,1200,稍重,3勝クラス,5,0,0,0,4
ダート,1200,稍重,3勝クラス,6,1,0,0,3
ダート,1200,稍重,3勝クラス,7,0,0,0,4
ダート,1200,稍重,3勝クラス,8,0,0,2,2
ダート,1200,稍重,3勝クラス,9,0,0,0,4
ダート,1200,稍重,3勝クラス,10,0,0,1,3
ダート,1200,稍重,3勝クラス,11,0,0,0,4
ダート,1200,稍重,3勝クラス,12,0,0,1,3
ダート,1200,稍重,3勝クラス,13,0,0,0,4
ダート,1200,稍重,3勝クラス,14,0,0,0,3
ダート,1200,稍重,3勝クラス,15,0,0,0,3
ダート,1200,稍重,3勝クラス,16,0,0,0,2
ダート,1200,稍重,all,1,36,20,15,31
ダート,1200,稍重,all,2,26,18,14,44
ダート,1200,稍重,all,3,9,15,22,56
ダート,1200,稍重,all,4,10,12,5,75
ダート,1200,稍重,all,5,4,10,6,82
ダート,1200,稍重,all,6,7,6,8,81
ダート,1200,稍重,all,7,3,4,7,87
ダート,1200,稍重,all,8,3,2,6,90
ダート,1200,稍重,all,9,1,6,9,84
ダート,1200,稍重,all,10,1,4,1,91
ダート,1200,稍重,all,11,0,1,5,90
ダート,1200,稍重,all,12,2,2,2,87
ダート,1200,稍重,all,13,0,1,1,87
ダート,1200,稍重,all,14,0,1,0,79
ダート,1200,稍重,all,15,0,0,1,74
ダート,1200,稍重,all,16,0,0,0,56
ダート,1200,稍重,オープン,1,0,1,1,2
ダート,1200,稍重,オープン,2,3,1,0,0
ダート,1200,稍重,オープン,3,0,1,1,2
ダート,1200,稍重,オープン,4,1,0,0,3
ダート,1200,稍重,オープン,5,0,1,0,3
ダート,1200,稍重,オープン,6,0,0,0,4
ダート,1200,稍重,オープン,7,0,0,1,3
ダート,1200,稍重,オープン,8,0,0,0,4
ダート,1200,稍重,オープン,9,0,0,0,4
ダート,1200,稍重,オープン,10,0,0,0,4
ダート,1200,稍重,オープン,11,0,0,1,3
ダート,1200,稍重,オープン,12,0,0,0,4
ダート,1200,稍重,オープン,13,0,0,0,4
ダート,1200,稍重,オープン,14,0,0,0,4
ダート,1200,稍重,オープン,15,0,0,0,4
ダート,1200,稍重,オープン,16,0,0,0,4
ダート,1200,稍重,新馬,1,0,1,1,2
ダート,1200,稍重,新馬,2,1,0,0,3
ダート,1200,稍重,新馬,3,0,1,0,3
ダート,1200,稍重,新馬,4,0,1,0,3
ダート,1200,稍重,新馬,5,0,0,1,3
ダート,1200,稍重,新馬,6,1,0,0,3
ダート,1200,稍重,新馬,7,0,0,0,4
ダート,1200,稍重,新馬,8,1,0,1,2
ダート,1200,稍重,新馬,9,0,1,1,2
ダート,1200,稍重,新馬,10,0,0,0,4
ダート,1200,稍重,新馬,11,0,0,0,4
ダート,1200,稍重,新馬,12,1,0,0,3
ダート,1200,稍重,新馬,13,0,0,0,3
ダート,1200,稍重,新馬,14,0,0,0,3
ダート,1200,稍重,新馬,15,0,0,0,3
ダート,1200,稍重,新馬,16,0,0,0,3
ダート,1200,稍重,未勝利,1,18,10,5,8
ダート,1200,稍重,未勝利,2,10,6,6,19
ダート,1200,稍重,未勝利,3,3,6,14,18
ダート,1200,稍重,未勝利,4,5,7,2,27
ダート,1200,稍重,未勝利,5,1,4,1,35
ダート,1200,稍重,未勝利,6,2,2,2,35
ダート,1200,稍重,未勝利,7,1,1,3,36
ダート,1200,稍重,未勝利,8,1,1,1,37
ダート,1200,稍重,未勝利,9,0,2,5,33
ダート,1200,稍重,未勝利,10,0,0,0,38
ダート,1200,稍重,未勝利,11,0,0,1,37
ダート,1200,稍重,未勝利,12,0,0,0,37
ダート,1200,稍重,未勝利,13,0,1,1,35
ダート,1200,稍重,未勝利,14,0,1,0,33
ダート,1200,稍重,未勝利,15,0,0,0,32
ダート,1200,稍重,未勝利,16,0,0,0,24
ダート,1200,良,1勝クラス,1,22,12,10,25
ダート,1200,良,1勝クラス,2,14,8,7,39
ダート,1200,良,1勝クラス,3,9,13,7,40
ダート,1200,良,1勝クラス,4,4,12,9,44
ダート,1200,良,1勝クラス,5,6,5,9,49
ダート,1200,良,1勝クラス,6,8,7,2,52
ダート,1200,良,1勝クラス,7,0,4,8,57
ダート,1200,良,1勝クラス,8,3,4,5,54
ダート,1200,良,1勝クラス,9,1,1,3,60
ダート,1200,良,1勝クラス,10,2,0,1,61
ダート,1200,良,1勝クラス,11,0,1,3,58
ダート,1200,良,1勝クラス,12,0,0,2,54
ダート,1200,良,1勝クラス,13,0,1,3,48
ダート,1200,良,1勝クラス,14,0,0,0,45
ダート,1200,良,1勝クラス,15,0,0,0,41
ダート,1200,良,1勝クラス,16,0,1,0,24
ダート,1200,良,2勝クラス,1,17,5,3,20
ダート,1200,良,2勝クラス,2,9,6,1,29
ダート,1200,良,2勝クラス,3,6,4,6,29
ダート,1200,良,2勝クラス,4,3,9,5,28
ダート,1200,良,2勝クラス,5,1,6,8,30
ダート,1200,良,2勝クラス,6,3,2,2,38
ダート,1200,良,2勝クラス,7,2,2,2,39
ダート,1200,良,2勝クラス,8,1,4,3,37
ダート,1200,良,2勝クラス,9,2,1,4,38
ダート,1200,良,2勝クラス,10,0,2,2,41
ダート,1200,良,2勝クラス,11,1,1,2,41
ダート,1200,良,2勝クラス,12,0,1,2,41
ダート,1200,良,2勝クラス,13,0,1,2,41
ダート,1200,良,2勝クラス,14,0,1,2,37
ダート,1200,良,2勝クラス,15,0,0,0,37
ダート,1200,良,2勝クラス,16,0,0,1,35
ダート,1200,良,3勝クラス,1,8,4,1,8
ダート,1200,良,3勝クラス,2,2,7,5,7
