,式別,馬番,配当,人気
202601010110,馬連,5-7,2630,8
202601010110,ワイド,5-7,910,8
202601010110,ワイド,3-5,3740,36
202601010110,ワイド,3-7,1660,21
202601010110,馬単,5→7,5680,19
202601010110,三連複,3-5-7,16300,56
202601010110,三連単,5→7→3,91480,301
202601010111,単勝,7,210,1
202601010111,複勝,7,120,1
202601010111,複勝,5,180,3
202601010111,複勝,3,160,2
202601010111,枠連,5-6,810,3
202601010111,馬連,5-7,860,2
202601010111,ワイド,5-7,340,2
202601010111,ワイド,3-7,290,1
202601010111,ワイド,3-5,620,6
202601010111,馬単,7→5,1260,3
202601010111,三連複,3-5-7,1540,2
202601010111,三連単,7→5→3,4850,4
202601010112,単勝,5,360,2
202601010112,複勝,5,120,2
202601010112,複勝,9,140,4
202601010112,複勝,8,110,1
202601010112,枠連,5-7,340,1
202601010112,馬連,5-9,1290,5
202601010112,ワイド,5-9,390,5
202601010112,ワイド,5-8,180,1
202601010112,ワイド,8-9,240,3
202601010112,馬単,5→9,2250,9
202601010112,三連複,5-8-9,600,2
202601010112,三連単,5→9→8,5990,16
202601010201,単勝,10,180,1
202601010201,複勝,10,110,1
202601010201,複勝,2,820,10
202601010201,複勝,1,350,5
202601010201,枠連,2-7,4020,11
202601010201,馬連,2-10,4490,14
202601010201,ワイド,2-10,1770,17
202601010201,ワイド,1-10,660,7
202601010201,ワイド,1-2,6210,44
202601010201,馬単,10→2,6340,19
202601010201,三連複,1-2-10,17060,50
202601010201,三連単,10→2→1,69900,194
202601010202,単勝,9,1570,6
202601010202,複勝,9,280,6
202601010202,複勝,5,180,4
202601010202,複勝,6,130,1
202601010202,枠連,5-8,1940,8
202601010202,馬連,5-9,5090,16
202601010202,ワイド,5-9,1120,14
202601010202,ワイド,6-9,500,5
202601010202,ワイド,5-6,300,3
202601010202,馬単,9→5,11450,34
202601010202,三連複,5-6-9,2240,9
202601010202,三連単,9→5→6,27940,97
202601010203,単勝,8,340,1
202601010203,複勝,8,170,1
202601010203,複勝,6,1270,12
202601010203,複勝,11,380,7
202601010203,枠連,3-4,5090,19
202601010203,馬連,6-8,9120,29
202601010203,ワイド,6-8,2630,26
202601010203,ワイド,8-11,1050,11
202601010203,ワイド,6-11,7170,69
202601010203,馬単,8→6,12240,43
202601010203,三連複,6-8-11,44190,134
202601010203,三連単,8→6→11,167230,505
202601010204,単勝,1,700,5
202601010204,複勝,1,220,5
202601010204,複勝,8,890,9
202601010204,複勝,9,160,1
202601010204,枠連,1-7,1110,4
202601010204,馬連,1-8,13280,28
202601010204,ワイド,1-8,3050,28
202601010204,ワイド,1-9,430,4
202601010204,ワイド,8-9,1860,16
202601010204,馬単,1→8,16090,40
202601010204,三連複,1-8-9,9790,28
202601010204,三連単,1→8→9,76840,211
202601010205,単勝,9,740,3
202601010205,複勝,9,140,3
202601010205,複勝,2,110,1
202601010205,複勝,6,130,2
202601010205,枠連,2-8,340,1
202601010205,馬連,2-9,450,2
202601010205,ワイド,2-9,200,2
202601010205,ワイド,6-9,390,5
202601010205,ワイド,2-6,160,1
202601010205,馬単,9→2,1480,6
202601010205,三連複,2-6-9,570,1
202601010205,三連単,9→2→6,5140,15
202601010206,単勝,2,280,2
202601010206,複勝,2,120,2
202601010206,複勝,8,180,4
202601010206,複勝,9,120,1
202601010206,枠連,2-6,1240,5
202601010206,馬連,2-8,1390,5
202601010206,ワイド,2-8,440,5
202601010206,ワイド,2-9,180,1
202601010206,ワイド,8-9,390,4
202601010206,馬単,2→8,2150,9
202601010206,三連複,2-8-9,790,2
202601010206,三連単,2→8→9,5650,14
202601010207,単勝,6,360,2
202601010207,複勝,6,220,3
202601010207,複勝,2,330,5
202601010207,馬連,2-6,1750,9
202601010207,ワイド,2-6,470,9
202601010207,ワイド,4-6,280,4
202601010207,ワイド,2-4,360,7
202601010207,馬単,6→2,3210,17
202601010207,三連複,2-4-6,1160,6
202601010207,三連単,6→2→4,7630,40
202601010208,単勝,1,160,1
202601010208,複勝,1,110,1
202601010208,複勝,2,140,2
202601010208,複勝,8,310,8
202601010208,枠連,1-2,360,1
202601010208,馬連,1-2,380,1
202601010208,ワイド,1-2,180,1
202601010208,ワイド,1-8,620,8
202601010208,ワイド,2-8,1110,15
202601010208,馬単,1→2,480,1
202601010208,三連複,1-2-8,2290,8
202601010208,三連単,1→2→8,6380,14
202601010209,単勝,5,160,1
202601010209,複勝,5,110,1
202601010209,複勝,1,130,3
202601010209,複勝,6,130,2
202601010209,馬連,1-5,380,1
202601010209,ワイド,1-5,170,1
202601010209,ワイド,5-6,180,2
202601010209,ワイド,1-6,290,4
202601010209,馬単,5→1,510,1
202601010209,三連複,1-5-6,480,1
202601010209,三連単,5→1→6,1600,1
202601010210,単勝,8,920,5
202601010210,複勝,8,300,6
202601010210,複勝,2,510,8
202601010210,複勝,1,210,4
202601010210,枠連,2-7,8760,23
202601010210,馬連,2-8,11290,26
202601010210,ワイド,2-8,2620,27
202601010210,ワイド,1-8,750,11
202601010210,ワイド,1-2,1300,17
202601010210,馬単,8→2,18190,50
202601010210,三連複,1-2-8,14920,46
202601010210,三連単,8→2→1,140330,315
202601010211,単勝,2,210,1
202601010211,複勝,2,120,1
202601010211,複勝,13,500,7
202601010211,複勝,4,500,8
202601010211,枠連,2-8,2460,9
202601010211,馬連,2-13,2870,9
202601010211,ワイド,2-13,1170,12
202601010211,ワイド,2-4,1090,11
202601010211,ワイド,4-13,6080,47
202601010211,馬単,2→13,4220,14
202601010211,三連複,2-4-13,21750,58
202601010211,三連単,2→13→4,68530,192
202601010212,単勝,4,3780,8
202601010212,複勝,4,620,8
202601010212,複勝,6,490,6
202601010212,複勝,1,140,1
202601010212,枠連,4-6,27620,26
202601010212,馬連,4-6,25060,29
202601010212,ワイド,4-6,5500,30
202601010212,ワイド,1-4,1200,14
202601010212,ワイド,1-6,1160,13
202601010212,馬単,4→6,51760,60
202601010212,三連複,1-4-6,17700,37
202601010212,三連単,4→6→1,192820,288
202601010501,単勝,6,280,1
202601010501,複勝,6,130,1
202601010501,複勝,10,290,4
202601010501,複勝,3,350,6
202601010501,枠連,4-6,1170,3
202601010501,馬連,6-10,1710,5
202601010501,ワイド,6-10,680,5
202601010501,ワイド,3-6,580,3
202601010501,ワイド,3-10,3130,38
202601010501,馬単,6→10,2860,7
202601010501,三連複,3-6-10,6160,19
202601010501,三連単,6→10→3,24430,59
202601010502,単勝,7,300,1
202601010502,複勝,7,150,1
202601010502,複勝,10,580,9
202601010502,複勝,11,420,7
202601010502,枠連,5-7,1940,9
202601010502,馬連,7-10,4500,18
202601010502,ワイド,7-10,1420,21
202601010502,ワイド,7-11,1010,13
202601010502,ワイド,10-11,3910,37
202601010502,馬単,7→10,7390,30
202601010502,三連複,7-10-11,15680,53
202601010502,三連単,7→10→11,72110,249
202601010503,単勝,14,460,3
202601010503,複勝,14,240,4
202601010503,複勝,10,230,3
202601010503,複勝,11,340,6
202601010503,枠連,6-8,740,2
202601010503,馬連,10-14,1360,5
202601010503,ワイド,10-14,580,5
202601010503,ワイド,11-14,1870,24
202601010503,ワイド,10-11,1450,21
202601010503,馬単,14→10,2520,7
202601010503,三連複,10-11-14,9480,35
202601010503,三連単,14→10→11,32520,123
202601010504,単勝,4,690,4
202601010504,複勝,4,200,3
202601010504,複勝,13,180,2
202601010504,複勝,2,200,4
202601010504,枠連,3-8,1040,4
202601010504,馬連,4-13,1980,9
202601010504,ワイド,4-13,720,9
202601010504,ワイド,2-4,760,10
202601010504,ワイド,2-13,690,7
202601010504,馬単,4→13,4040,18
202601010504,三連複,2-4-13,3540,12
202601010504,三連単,4→13→2,24550,86
202601010505,単勝,5,510,3
202601010505,複勝,5,160,2
202601010505,複勝,6,240,4
202601010505,複勝,9,350,7
202601010505,枠連,5-5,1760,8
202601010505,馬連,5-6,1650,7
202601010505,ワイド,5-6,650,8
202601010505,ワイド,5-9,1140,17
202601010505,ワイド,6-9,1280,18
202601010505,馬単,5→6,2920,12
202601010505,三連複,5-6-9,8240,31
202601010505,三連単,5→6→9,28020,101
202601010506,単勝,12,500,3
202601010506,複勝,12,140,3
202601010506,複勝,11,130,1
202601010506,複勝,4,130,2
202601010506,枠連,6-6,830,4
202601010506,馬連,11-12,840,2
202601010506,ワイド,11-12,300,2
202601010506,ワイド,4-12,460,4
202601010506,ワイド,4-11,280,1
202601010506,馬単,12→11,1820,4
202601010506,三連複,4-11-12,1210,1
202601010506,三連単,12→11→4,6930,7
202601010507,単勝,6,680,4
202601010507,複勝,6,220,3
202601010507,複勝,5,860,10
202601010507,複勝,4,280,5
202601010507,枠連,5-5,9820,22
202601010507,馬連,5-6,7500,25
202601010507,ワイド,5-6,2250,29
202601010507,ワイド,4-6,900,9
202601010507,ワイド,4-5,2560,31
202601010507,馬単,6→5,11390,40
202601010507,三連複,4-5-6,15970,54
202601010507,三連単,6→5→4,106860,309
202601010508,単勝,16,4020,13
202601010508,複勝,16,1120,12
202601010508,複勝,1,790,11
202601010508,複勝,12,570,8
202601010508,枠連,1-8,6280,26
202601010508,馬連,1-16,47810,84
202601010508,ワイド,1-16,11210,86
202601010508,ワイド,12-16,5160,58
202601010508,ワイド,1-12,4400,51
202601010508,馬単,16→1,85160,164
202601010508,三連複,1-12-16,131380,278
202601010508,三連単,16→1→12,980260,1796
202601010509,単勝,14,600,2
202601010509,複勝,14,190,2
202601010509,複勝,10,580,7
202601010509,複勝,12,650,8
202601010509,枠連,6-8,2670,10
202601010509,馬連,10-14,5300,19
202601010509,ワイド,10-14,1540,17
202601010509,ワイド,12-14,1240,13
202601010509,ワイド,10-12,4260,40
202601010509,馬単,14→10,7210,23
202601010509,三連複,10-12-14,20020,62
202601010509,三連単,14→10→12,96430,278
202601010510,単勝,8,250,1
202601010510,複勝,8,140,1
202601010510,複勝,5,210,5
202601010510,複勝,3,360,7
202601010510,馬連,5-8,1060,4
202601010510,ワイド,5-8,440,7
202601010510,ワイド,3-8,800,12
202601010510,ワイド,3-5,1120,19
202601010510,馬単,8→5,1680,7
202601010510,三連複,3-5-8,4810,21
202601010510,三連単,8→5→3,16380,68
202601010511,単勝,3,500,3
202601010511,複勝,3,200,4
202601010511,複勝,11,190,3
202601010511,複勝,5,170,2
202601010511,枠連,3-8,1330,5
202601010511,馬連,3-11,2020,7
202601010511,ワイド,3-11,710,7
202601010511,ワイド,3-5,530,3
202601010511,ワイド,5-11,540,4
202601010511,馬単,3→11,3550,13
202601010511,三連複,3-5-11,2950,6
202601010511,三連単,3→11→5,19010,46
202601010512,単勝,10,620,3
202601010512,複勝,10,170,3
202601010512,複勝,11,140,1
202601010512,複勝,9,170,2
202601010512,枠連,7-7,910,3
202601010512,馬連,10-11,860,2
202601010512,ワイド,10-11,340,1
202601010512,ワイド,9-10,820,9
202601010512,ワイド,9-11,350,2
202601010512,馬単,10→11,2140,4
202601010512,三連複,9-10-11,1850,1
202601010512,三連単,10→11→9,12190,17
202601010601,単勝,10,780,3
202601010601,複勝,10,210,3
202601010601,複勝,12,110,1
202601010601,複勝,4,610,9
202601010601,枠連,7-8,470,2
202601010601,馬連,10-12,620,2
202601010601,ワイド,10-12,300,2
202601010601,ワイド,4-10,2050,26
202601010601,ワイド,4-12,1130,12
202601010601,馬単,10→12,1950,7
202601010601,三連複,4-10-12,3440,14
202601010601,三連単,10→12→4,21820,71
202601010602,単勝,5,210,1
202601010602,複勝,5,110,1
202601010602,複勝,9,120,2
202601010602,複勝,1,180,4
202601010602,枠連,5-7,290,1
202601010602,馬連,5-9,350,1
202601010602,ワイド,5-9,190,2
202601010602,ワイド,1-5,340,5
202601010602,ワイド,1-9,560,7
202601010602,馬単,5→9,630,1
202601010602,三連複,1-5-9,980,4
202601010602,三連単,5→9→1,2590,7
202601010603,単勝,4,420,2
202601010603,複勝,4,160,3
202601010603,複勝,10,150,1
202601010603,複勝,9,270,6
202601010603,枠連,4-8,630,1
202601010603,馬連,4-10,830,2
202601010603,ワイド,4-10,380,2
202601010603,ワイド,4-9,850,13
202601010603,ワイド,9-10,940,15
202601010603,馬単,4→10,1660,4
202601010603,三連複,4-9-10,3240,10
202601010603,三連単,4→10→9,16510,50
202601010604,単勝,10,340,1
202601010604,複勝,10,150,1
202601010604,複勝,6,210,4
202601010604,複勝,5,350,7
202601010604,枠連,4-6,420,1
202601010604,馬連,6-10,920,2
202601010604,ワイド,6-10,390,2
202601010604,ワイド,5-10,1240,17
202601010604,ワイド,5-6,1170,16
202601010604,馬単,10→6,1740,3
202601010604,三連複,5-6-10,5250,17
202601010604,三連単,10→6→5,21780,72
202601010605,単勝,11,240,1
202601010605,複勝,11,120,1
202601010605,複勝,13,150,3
202601010605,複勝,10,400,8
202601010605,枠連,7-8,240,1
202601010605,馬連,11-13,570,2
202601010605,ワイド,11-13,290,2
202601010605,ワイド,10-11,1040,11
202601010605,ワイド,10-13,1140,17
202601010605,馬単,11→13,1080,4
202601010605,三連複,10-11-13,4030,13
202601010605,三連単,11→13→10,11930,30
202601010606,単勝,11,440,2
202601010606,複勝,11,170,2
202601010606,複勝,10,240,4
202601010606,複勝,5,260,5
202601010606,枠連,6-7,720,2
202601010606,馬連,10-11,1530,4
202601010606,ワイド,10-11,520,4
202601010606,ワイド,5-11,790,9
202601010606,ワイド,5-10,1030,14
202601010606,馬単,11→10,2840,8
202601010606,三連複,5-10-11,4560,16
202601010606,三連単,11→10→5,19280,53
202601010607,単勝,4,180,1
202601010607,複勝,4,110,1
202601010607,複勝,3,140,2
202601010607,複勝,7,180,3
202601010607,枠連,2-2,500,2
202601010607,馬連,3-4,550,1
202601010607,ワイド,3-4,250,1
202601010607,ワイド,4-7,270,2
202601010607,ワイド,3-7,630,7
202601010607,馬単,4→3,770,1
202601010607,三連複,3-4-7,1030,1
202601010607,三連単,4→3→7,2630,1
202601010608,単勝,12,440,2
202601010608,複勝,12,150,1
202601010608,複勝,5,200,4
202601010608,複勝,8,210,5
202601010608,枠連,4-7,590,2
202601010608,馬連,5-12,1420,5
202601010608,ワイド,5-12,540,5
202601010608,ワイド,8-12,600,7
202601010608,ワイド,5-8,830,11
202601010608,馬単,12→5,2840,9
202601010608,三連複,5-8-12,3830,13
202601010608,三連単,12→5→8,17650,50
202601010609,単勝,10,980,5
202601010609,複勝,10,230,4
202601010609,複勝,11,180,2
202601010609,複勝,1,310,5
202601010609,枠連,5-6,1680,8
202601010609,馬連,10-11,1930,6
202601010609,ワイド,10-11,710,7
202601010609,ワイド,1-10,1500,17
202601010609,ワイド,1-11,980,9
202601010609,馬単,10→11,5060,19
202601010609,三連複,1-10-11,6100,17
202601010609,三連単,10→11→1,44170,126
202601010610,単勝,3,1220,4
202601010610,複勝,3,220,5
202601010610,複勝,13,110,1
202601010610,複勝,8,110,2
202601010610,枠連,3-8,840,3
202601010610,馬連,3-13,1120,4
202601010610,ワイド,3-13,430,4
202601010610,ワイド,3-8,470,6
202601010610,ワイド,8-13,150,1
202601010610,馬単,3→13,2970,7
202601010610,三連複,3-8-13,820,2
202601010610,三連単,3→13→8,8690,24
202601010611,単勝,10,360,1
202601010611,複勝,10,170,1
202601010611,複勝,13,190,3
202601010611,複勝,2,450,8
202601010611,枠連,5-7,510,1
202601010611,馬連,10-13,940,2
202601010611,ワイド,10-13,440,2
202601010611,ワイド,2-10,1010,9
202601010611,ワイド,2-13,1580,18
202601010611,馬単,10→13,1800,1
202601010611,三連複,2-10-13,4590,9
202601010611,三連単,10→13→2,19480,36
202601010612,単勝,4,780,4
202601010612,複勝,4,190,3
202601010612,複勝,5,250,5
202601010612,複勝,1,170,2
202601010612,馬連,4-5,2270,11
202601010612,ワイド,4-5,500,9
202601010612,ワイド,1-4,410,5
202601010612,ワイド,1-5,500,8
202601010612,馬単,4→5,4960,20
202601010612,三連複,1-4-5,2280,9
202601010612,三連単,4→5→1,17500,69
202601010301,単勝,7,310,1
202601010301,複勝,7,150,2
202601010301,複勝,5,420,6
202601010301,複勝,3,200,4
202601010301,枠連,5-6,1110,3
202601010301,馬連,5-7,2550,8
202601010301,ワイド,5-7,930,10
202601010301,ワイド,3-7,490,4
202601010301,ワイド,3-5,1110,13
202601010301,馬単,7→5,4290,15
202601010301,三連複,3-5-7,4180,13
202601010301,三連単,7→5→3,20550,56
202601010302,単勝,6,550,4
202601010302,複勝,6,170,4
202601010302,複勝,4,140,2
202601010302,複勝,2,140,3
202601010302,枠連,4-6,1650,7
202601010302,馬連,4-6,1310,6
202601010302,ワイド,4-6,440,6
202601010302,ワイド,2-6,370,5
202601010302,ワイド,2-4,260,1
202601010302,馬単,6→4,2060,11
202601010302,三連複,2-4-6,1080,3
202601010302,三連単,6→4→2,7550,25
202601010303,単勝,8,640,4
202601010303,複勝,8,170,3
202601010303,複勝,11,170,4
202601010303,複勝,5,130,1
202601010303,枠連,7-8,1000,4
202601010303,馬連,8-11,1570,8
202601010303,ワイド,8-11,460,6
202601010303,ワイド,5-8,430,5
202601010303,ワイド,5-11,400,4
202601010303,馬単,8→11,2960,14
202601010303,三連複,5-8-11,1820,6
202601010303,三連単,8→11→5,14530,53
202601010304,単勝,7,1000,4
202601010304,複勝,7,200,4
202601010304,複勝,1,110,1
202601010304,複勝,11,150,3
202601010304,枠連,1-6,750,3
202601010304,馬連,1-7,1220,4
202601010304,ワイド,1-7,420,4
202601010304,ワイド,7-11,820,11
202601010304,ワイド,1-11,210,2
202601010304,馬単,7→1,2860,8
202601010304,三連複,1-7-11,1670,5
202601010304,三連単,7→1→11,11300,33
202601010305,単勝,7,250,1
202601010305,複勝,7,110,1
202601010305,複勝,5,120,2
202601010305,複勝,3,130,3
202601010305,枠連,4-5,440,1
202601010305,馬連,5-7,430,1
202601010305,ワイド,5-7,200,1
202601010305,ワイド,3-7,240,2
202601010305,ワイド,3-5,270,4
202601010305,馬単,7→5,750,1
202601010305,三連複,3-5-7,550,1
202601010305,三連単,7→5→3,2110,1
202601010306,単勝,8,160,1
202601010306,複勝,8,110,1
202601010306,複勝,7,160,3
202601010306,複勝,4,150,2
202601010306,枠連,7-8,540,1
202601010306,馬連,7-8,570,1
202601010306,ワイド,7-8,230,1
202601010306,ワイド,4-8,250,2
202601010306,ワイド,4-7,720,10
202601010306,馬単,8→7,800,2
202601010306,三連複,4-7-8,1320,3
202601010306,三連単,8→7→4,3510,5
202601010307,単勝,3,550,3
202601010307,複勝,3,260,4
202601010307,複勝,11,320,6
202601010307,複勝,5,390,7
202601010307,枠連,3-8,1530,8
202601010307,馬連,3-11,4400,19
202601010307,ワイド,3-11,1330,19
202601010307,ワイド,3-5,1420,20
202601010307,ワイド,5-11,1560,21
202601010307,馬単,3→11,5970,31
202601010307,三連複,3-5-11,15870,60
202601010307,三連単,3→11→5,63060,251
202601010309,単勝,7,520,3
202601010309,複勝,7,300,3
202601010309,複勝,5,790,6
202601010309,馬連,5-7,5560,16
202601010309,ワイド,5-7,1460,16
202601010309,ワイド,1-7,800,11
202601010309,ワイド,1-5,2290,19
202601010309,馬単,7→5,8890,27
202601010309,三連複,1-5-7,12110,30
202601010309,三連単,7→5→1,59200,138
202601010310,単勝,1,300,1
202601010310,複勝,1,140,2
202601010310,複勝,8,130,1
202601010310,複勝,5,150,3
202601010310,枠連,1-5,640,1
202601010310,馬連,1-8,800,3
202601010310,ワイド,1-8,310,1
202601010310,ワイド,1-5,320,2
202601010310,ワイド,5-8,400,4
202601010310,馬単,1→8,1450,4
202601010310,三連複,1-5-8,1020,1
202601010310,三連単,1→8→5,5310,5
202601010311,単勝,10,860,5
202601010311,複勝,10,240,4
202601010311,複勝,12,180,2
202601010311,複勝,11,190,3
202601010311,枠連,5-6,740,2
202601010311,馬連,10-12,1690,5
202601010311,ワイド,10-12,650,4
202601010311,ワイド,10-11,810,7
202601010311,ワイド,11-12,790,6
202601010311,馬単,10→12,3430,8
202601010311,三連複,10-11-12,3090,3
202601010311,三連単,10→12→11,16820,19
202601010312,単勝,1,730,3
202601010312,複勝,1,210,3
202601010312,複勝,3,130,2
202601010312,複勝,6,320,7
202601010312,馬連,1-3,1090,4
202601010312,ワイド,1-3,440,4
202601010312,ワイド,1-6,1430,19
202601010312,ワイド,3-6,820,13
202601010312,馬単,1→3,2640,9
202601010312,三連複,1-3-6,5620,24
202601010312,三連単,1→3→6,25760,93
202601010401,単勝,5,3130,8
202601010401,複勝,5,570,8
202601010401,複勝,1,130,2
202601010401,複勝,8,130,1
202601010401,枠連,1-4,650,3
202601010401,馬連,1-5,5770,18
202601010401,ワイド,1-5,1530,19
202601010401,ワイド,5-8,1220,14
202601010401,ワイド,1-8,220,1
202601010401,馬単,5→1,15460,44
202601010401,三連複,1-5-8,5140,15
202601010401,三連単,5→1→8,61490,168
202601010402,単勝,8,390,2
202601010402,複勝,8,160,2
202601010402,複勝,11,190,3
202601010402,複勝,10,500,8
202601010402,枠連,5-7,680,3
202601010402,馬連,8-11,1170,3
202601010402,ワイド,8-11,410,3
202601010402,ワイド,8-10,1170,15
202601010402,ワイド,10-11,1340,18
202601010402,馬単,8→11,1970,4
202601010402,三連複,8-10-11,6680,22
202601010402,三連単,8→11→10,26300,76
202601010403,単勝,3,150,1
202601010403,複勝,3,110,1
202601010403,複勝,8,110,2
202601010403,複勝,5,200,5
202601010403,枠連,3-7,150,1
202601010403,馬連,3-8,180,1
202601010403,ワイド,3-8,120,1
202601010403,ワイド,3-5,510,7
202601010403,ワイド,5-8,630,10
202601010403,馬単,3→8,230,1
202601010403,三連複,3-5-8,920,4
202601010403,三連単,3→8→5,2260,5
202601010404,単勝,10,3750,8
202601010404,複勝,10,490,8
202601010404,複勝,5,110,1
202601010404,複勝,6,240,3
202601010404,枠連,4-7,1200,3
202601010404,馬連,5-10,2040,5
202601010404,ワイド,5-10,830,8
202601010404,ワイド,6-10,2210,22
202601010404,ワイド,5-6,410,2
202601010404,馬単,10→5,7900,20
202601010404,三連複,5-6-10,4710,12
202601010404,三連単,10→5→6,62030,152
202601010405,単勝,2,280,1
202601010405,複勝,2,130,1
202601010405,複勝,7,210,5
202601010405,複勝,3,150,3
202601010405,枠連,2-7,1430,7
202601010405,馬連,2-7,1410,5
202601010405,ワイド,2-7,470,7
202601010405,ワイド,2-3,270,2
202601010405,ワイド,3-7,640,10
202601010405,馬単,2→7,2380,10
202601010405,三連複,2-3-7,2210,9
202601010405,三連単,2→7→3,11370,36
202601010406,単勝,10,840,6
202601010406,複勝,10,280,6
202601010406,複勝,1,960,10
202601010406,複勝,2,250,3
202601010406,枠連,1-8,8460,27
202601010406,馬連,1-10,15050,42
202601010406,ワイド,1-10,3380,40
202601010406,ワイド,2-10,1360,22
202601010406,ワイド,1-2,3390,41
202601010406,馬単,10→1,23480,78
202601010406,三連複,1-2-10,29960,105
202601010406,三連単,10→1→2,142400,554
202601010407,単勝,4,3440,10
202601010407,複勝,4,810,9
202601010407,複勝,9,290,2
202601010407,複勝,12,920,10
202601010407,枠連,4-7,7960,19
202601010407,馬連,4-9,7590,25
202601010407,ワイド,4-9,1950,23
202601010407,ワイド,4-12,5340,44
202601010407,ワイド,9-12,1470,16
202601010407,馬単,4→9,18560,52
202601010407,三連複,4-9-12,28530,79
202601010407,三連単,4→9→12,231140,478
202601010408,単勝,2,460,2
202601010408,複勝,2,170,2
202601010408,複勝,1,240,4
202601010408,複勝,14,150,1
202601010408,枠連,1-2,2370,10
202601010408,馬連,1-2,2240,6
202601010408,ワイド,1-2,950,11
202601010408,ワイド,2-14,530,2
202601010408,ワイド,1-14,890,8
202601010408,馬単,2→1,3980,14
202601010408,三連複,1-2-14,3260,4
202601010408,三連単,2→1→14,15830,23
202601010409,単勝,8,1770,7
202601010409,複勝,8,430,7
202601010409,複勝,5,170,1
202601010409,複勝,10,770,9
202601010409,枠連,5-6,870,1
202601010409,馬連,5-8,2860,13
202601010409,ワイド,5-8,1110,13
202601010409,ワイド,8-10,4670,45
202601010409,ワイド,5-10,1420,19
202601010409,馬単,8→5,8110,34
202601010409,三連複,5-8-10,17600,61
202601010409,三連単,8→5→10,119110,370
